"CHARACTER DESCRIPTION"
"Royal Envoy.Self-confident."

"","","","","DIA_Wyslannik_HELLO1"
"Royal Envoy","Bist du es von dem sie alle Reden?                                                                                                                     ","DIA_Wyslannik_HELLO1_03_01"
"Romulus","","Wer bist du?                                                                                                                     ","DIA_Wyslannik_HELLO1_15_02"
"Royal Envoy","Ich bin ein königlicher Abgesandter. Ich nehme an, du bist Romulus?                                                                                                                     ","DIA_Wyslannik_HELLO1_03_03"
"Romulus","","Ja, das bin ich.                                                                                                                     ","DIA_Wyslannik_HELLO1_15_04"
"Royal Envoy","Einer der Zeugen der Meuterei in der Gladiatoren-Bucht berichtete, dass du Proxemo in der Arena getötet hast.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_05"
"Royal Envoy","Was du jetzt sagst, spielt keine Rolle.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_06"
"Royal Envoy","Die Gladiatoren-Bucht wurde jemandem übergeben, der kompetenter ist.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_07"
"Royal Envoy","Das Einzige, was ich von dir wissen möchte, ist, wo ich einen bestimmten Kaly finden kann.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_08"
"Romulus","","Ich weiß nicht, wo er ist. Er sagte mir, ich solle weglaufen und er blieb in der Bucht.                                                                                                                     ","DIA_Wyslannik_HELLO1_15_09"
"Royal Envoy","Tatsächlich?                                                                                                                     ","DIA_Wyslannik_HELLO1_03_10"
"Romulus","","Genau. Ich bin als Champion aus der Bucht geflohen und hierher gekommen.                                                                                                                     ","DIA_Wyslannik_HELLO1_15_11"
"Romulus","","Nur zu, du kannst deinen Männern sagen, dass sie mich verhaften sollen. Ich werde mich bis zum letzten Blutstropfen verteidigen.                                                                                                                     ","DIA_Wyslannik_HELLO1_15_12"
"Royal Envoy","(bestimmt) Nein! Ich werde dich nicht verhaften. Im Namen von König Rezenhart spreche ich dich frei.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_13"
"Romulus","","Was? Wieso das?                                                                                                                     ","DIA_Wyslannik_HELLO1_15_14"
"Royal Envoy","Du bist sehr beliebt beim Publikum, du generierst riesige Einnahmen. Die Zuschauer kämpfen gegeneinander, um deine Kämpfe zu sehen.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_15"
"Royal Envoy","Dich zu töten wäre unrentabel.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_16"
"Romulus","","Das hört sich gut an.                                                                                                                     ","DIA_Wyslannik_HELLO1_15_17"
"Royal Envoy","Mache dich bereit für den nächsten Kampf. Ich habe etwas Besonderes für dich arrangiert.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_18"
"Romulus","","So? Was denn?                                                                                                                     ","DIA_Wyslannik_HELLO1_15_19"
"Royal Envoy","Schlaf ein bisschen und du wirst es selbst sehen.                                                                                                                     ","DIA_Wyslannik_HELLO1_03_20"

"","","","","DIA_WYSLANNIK_OMAJHASZ"
"Royal Envoy","Hier ist ein Dokument, das deinen Status als Champion der Arena im Dorf bestätigt.                                                                                                                     ","DIA_WYSLANNIK_OMAJHASZ_03_01"
"Royal Envoy","Und natürlich ein weiteres Dokument, das deinen Sieg der Gladiatoren-Bucht bestätigt.                                                                                                                     ","DIA_WYSLANNIK_OMAJHASZ_03_02"
"Royal Envoy","Mit dem königlichen Siegel und meiner Unterschrift.                                                                                                                     ","DIA_WYSLANNIK_OMAJHASZ_03_03"
"Royal Envoy","Jetzt wird niemand daran zweifeln, dass du ein Champion bist.                                                                                                                     ","DIA_WYSLANNIK_OMAJHASZ_03_04"
"Romulus","","Ich danke dir.                                                                                                                     ","DIA_WYSLANNIK_OMAJHASZ_15_05"
"Royal Envoy","Und natürlich herzlichen Glückwunsch zum Sieg! Ich hatte das Gefühl, dass es dir gut gehen würde.                                                                                                                     ","DIA_WYSLANNIK_OMAJHASZ_03_06"
"Romulus","","Es ist Zeit für mich.                                                                                                                     ","DIA_WYSLANNIK_OMAJHASZ_15_07"

"","","","",""

