"CHARACTER DESCRIPTION"
"He looks forward to seeing the gladiators enlisted."

"","","","","DIA_Gilermo_HELLO1"
"Gilermo","Und wohin gehst du?                                                                                                                     ","DIA_Gilermo_HELLO1_03_01"
"Romulus","","Kann ich hier nicht lang?                                                                                                                     ","DIA_Gilermo_HELLO1_15_02"
"Gilermo","Das Betreten der Slums erfolgt auf eigene Gefahr.                                                                                                                     ","DIA_Gilermo_HELLO1_03_03"
"Romulus","","Und was finde ich dort?                                                                                                                     ","DIA_Gilermo_HELLO1_15_04"
"Gilermo","Woher kommst du? Geh und sieh es dir an und lass mich in Ruhe.                                                                                                                     ","DIA_Gilermo_HELLO1_03_05"
"Gilermo","Ich werde mir die Kämpfe ansehen. Ich liebe es, wie diese armen Menschen von oben in der Arena sterben, wie Blut fließt, wie sie um Gnade betteln.                                                                                                                     ","DIA_Gilermo_HELLO1_03_06"
"Gilermo","Ein befriedigender Anblick!                                                                                                                     ","DIA_Gilermo_HELLO1_03_07"

"","","","",""

