"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_11_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_11_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_11_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_11_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_11_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_11_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_11_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_11_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_11_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_11_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_11_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_11_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_11_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_11_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_11_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_11_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_11_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_11_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_11_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_11_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_11_RunAway"
"ALARM!                                                                                                                     ","SVM_11_Alarm"
"WACHE!                                                                                                                     ","SVM_11_Guards"
"Hilfe!                                                                                                                     ","SVM_11_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_11_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_11_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_11_RunCoward"
"Raus hier!                                                                                                                     ","SVM_11_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_11_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_11_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_11_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_11_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_11_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_11_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_11_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_11_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_11_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_11_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_11_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_11_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_11_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_11_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_11_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_11_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_11_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_11_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_11_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_11_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_11_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_11_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_11_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_11_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_11_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_11_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_11_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_11_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_11_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_11_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_11_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_11_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_11_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_11_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_11_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_11_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_11_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_11_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_11_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_11_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_11_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_11_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_11_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_11_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_11_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_11_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_11_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_11_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_11_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_11_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_11_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_11_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_11_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_11_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_11_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_11_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_11_Smalltalk30"
