"CHARACTER DESCRIPTION"
"calm and gentle"

"GUIDELINES"
"Hello Steve. Please speak like you did it in the 'versuche zwei' of mage.wav, which you sent."
"I.e. don't cut off your words abruptly and speak before, taking in more air. Greetings Damianut"

"","","","","DIA_CityKaplan_HELLO1"
"(COMBINED: This dialogue contains speeches which are used in combination to create another dialogues depend of player decisions. That's why, not all speeches are sequential. Partially this dialogue is sequential, but please don't treat in this way enterily dialogue.)"
"Mage","Oh, jemand will mehr als nur Unterhaltung.                                                                                                                     ","DIA_CityKaplan_HELLO1_03_01"
"Romulus","","Hallo Magier.                                                                                                                     ","DIA_CityKaplan_HELLO1_15_02"
"Mage","Hallo. Du siehst aus wie ein Gladiator.                                                                                                                     ","DIA_CityKaplan_HELLO1_03_03"
"Romulus","","Richtig.                                                                                                                     ","DIA_CityKaplan_HELLO1_15_04"

"","","","","DIA_Kaplan_HELLO1"
"Mage","Alles zum Thema Magie findest du hier.                                                                                                                     ","DIA_Kaplan_HELLO1_03_09"
"Romulus","","Ich werde daran denken.                                                                                                                     ","DIA_Kaplan_HELLO1_15_10"
"Mage","Oh! Ein neues Gesicht.                                                                                                                     ","DIA_Kaplan_HELLO1_03_01"
"Mage","Ich freue mich, dich in meiner Kapelle begrüßen zu dürfen!                                                                                                                     ","DIA_Kaplan_HELLO1_03_02"
"Romulus","","Hallo Magier.                                                                                                                     ","DIA_Kaplan_HELLO1_15_03"
"Mage","Bist du ein Gladiator?                                                                                                                     ","DIA_Kaplan_HELLO1_03_05"
"Romulus","","Ja das bin ich, Champion.                                                                                                                     ","DIA_Kaplan_HELLO1_15_06"
"Mage","Das dachte ich mir, nun ja, immer mehr Menschen opfern ihr Leben in der Arena, um Geld zu verdienen…                                                                                                                     ","DIA_Kaplan_HELLO1_03_07"
"Mage","Wenn du Magie ausprobieren möchtest, kann ich dir Zaubersprüche beibringen, ebenso Schriftrollen und Stäbe verkaufen.                                                                                                                     ","DIA_Kaplan_HELLO1_03_08"

"","","","","DIA_GbayKaplan_HELLO1GBAY"
"Mage","Ich kann dir auch beibringen, wie du dir das Wissen schneller aneignen kannst. Dies ist eine unschätzbare Fähigkeit in der Anfangsphase deiner Entwicklung.                                                                                                                    ","DIA_GbayKaplan_HELLO1GBAY_03_10"
"Mage","Warte, junger Mann.                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_03_01"
"Romulus","","Bist du Priester?                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_15_02"
"Mage","Ja, ich bete für die armen Menschen, die in der Arena sterben.                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_03_03"
"Mage","Obwohl mir ein Gedanke kam, um ihr Andenken zu ehren.                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_03_04"
"Mage","Auch hier übe ich mich in Geduld…                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_03_05"
"Romulus","","Kennst du Magie?                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_15_06"
"Mage","Ja, ich kann dir helfen, einen größeren Vorrat an magischer Energie aufzubauen, den jeder von uns hat.                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_03_07"
"Mage","Dank dessen kannst du Schriftrollen und Stäbe verwenden.                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_03_08"
"Romulus","","Ich werde daran denken.                                                                                                                     ","DIA_GbayKaplan_HELLO1GBAY_15_09"

"","","","","DIA_ForestKaplan_HELLO1"
(COMBINED)
"Mage","Oh, hallo ein weiterer Gladiator. Woher kommst du?                                                                                                                     ","DIA_ForestKaplan_HELLO1_03_01"
"Romulus","","Hallo Magier. Aus dem Dorf Gallen, ich habe ich dort den Champion besiegt.                                                                                                                     ","DIA_ForestKaplan_HELLO1_15_02"
