"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"GUIDELINES"
"Act like in 'versuche eins' in citizen.wav"

"So ein Mistwetter!                                                                                                                     ","SVM_12_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_12_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_12_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_12_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_12_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_12_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_12_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_12_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_12_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_12_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_12_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_12_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_12_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_12_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_12_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_12_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_12_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_12_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_12_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_12_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_12_RunAway"
"ALARM!                                                                                                                     ","SVM_12_Alarm"
"WACHE!                                                                                                                     ","SVM_12_Guards"
"Hilfe!                                                                                                                     ","SVM_12_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_12_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_12_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_12_RunCoward"
"Raus hier!                                                                                                                     ","SVM_12_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_12_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_12_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_12_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_12_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_12_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_12_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_12_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_12_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_12_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_12_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_12_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_12_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_12_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_12_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_12_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_12_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_12_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_12_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_12_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_12_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_12_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_12_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_12_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_12_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_12_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_12_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_12_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_12_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_12_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_12_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_12_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_12_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_12_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_12_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_12_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_12_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_12_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_12_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_12_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_12_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_12_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_12_Smalltalk14"
"…das liegt doch auf der Hand…                                                                                                                     ","SVM_12_Smalltalk15"
"…mich brauchst du das nicht zu fragen…                                                                                                                     ","SVM_12_Smalltalk16"
"…das kann ja nicht ewig so weitergehen…                                                                                                                     ","SVM_12_Smalltalk17"
"…meine Meinung kennst du ja schon…                                                                                                                     ","SVM_12_Smalltalk18"
"…genau das hab ich auch gesagt…                                                                                                                     ","SVM_12_Smalltalk19"
"…daran wird sich nie etwas ändern…                                                                                                                     ","SVM_12_Smalltalk20"
"…warum erfahre ich das erst jetzt…                                                                                                                     ","SVM_12_Smalltalk21"
"…lass uns mal abwarten, was daraus wird…                                                                                                                     ","SVM_12_Smalltalk22"
"…einige Probleme erledigen sich von selbst…                                                                                                                     ","SVM_12_Smalltalk23"
"…ich kann das nicht mehr hören…                                                                                                                     ","SVM_12_Smalltalk24"
"…der war doch sturzbetrunken…                                                                                                                     ","SVM_12_Smalltalk25"
"…mit mir kann man so was nicht machen…                                                                                                                     ","SVM_12_Smalltalk26"
"…alle sind gerannt wie die Hasen, ich war ganz allein…                                                                                                                     ","SVM_12_Smalltalk27"
"…so steht es in den heiligen Schriften…                                                                                                                     ","SVM_12_Smalltalk28"
"…niemand darf gegen die göttliche Ordnung verstoßen…                                                                                                                     ","SVM_12_Smalltalk30"
