"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_9_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_9_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_9_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_9_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_9_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_9_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_9_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_9_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_9_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_9_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_9_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_9_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_9_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_9_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_9_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_9_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_9_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_9_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_9_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_9_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_9_RunAway"
"ALARM!                                                                                                                     ","SVM_9_Alarm"
"WACHE!                                                                                                                     ","SVM_9_Guards"
"Hilfe!                                                                                                                     ","SVM_9_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_9_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_9_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_9_RunCoward"
"Raus hier!                                                                                                                     ","SVM_9_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_9_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_9_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_9_WhatsThisSupposedToBe"
