"CHARACTER DESCRIPTION"
"Bandit"

"","","","","DIA_Timon_HELLO1"
"Timon","Hey warte!                                                                                                                     ","DIA_Timon_HELLO1_03_01"
"Romulus","","(seufzt) Was ist denn? Wer bist du?                                                                                                                     ","DIA_Timon_HELLO1_15_02"
"Timon","Mein Name ist Timon, ich bin Kalis Freund.                                                                                                                     ","DIA_Timon_HELLO1_03_03"
"Romulus","","Stimmt, ich habe ihn nicht wie sonst gesehen. Er wartete immer hier, damit er mir nach dem Kampf gratuliere konnte.                                                                                                                     ","DIA_Timon_HELLO1_15_04"
"Timon","Er musste dringend in die Stadt und bat mich, dir bescheid zu sagen das ihr euch am Abend trefft.                                                                                                                     ","DIA_Timon_HELLO1_03_05"
"Timon","Nur nicht im Gasthof, sondern dahinter. Wir Benötigen einen diskreteren Ort.                                                                                                                     ","DIA_Timon_HELLO1_03_06"
"Timon","Anscheinend hat er etwas Wichtiges für dich.                                                                                                                     ","DIA_Timon_HELLO1_03_07"
"Timon","Okay, ich muss weiter. Ich habe dir gesagt, was ich sagen sollte.                                                                                                                     ","DIA_Timon_HELLO1_03_08"
"Timon","Ach und es war ein Toller Kampf!                                                                                                                     ","DIA_Timon_HELLO1_03_09"
"Romulus","","Danke.                                                                                                                     ","DIA_Timon_HELLO1_15_10"

"","","","","DIA_TIMON_HELLO2"
"Timon","Na wen haben wir denn hier!                                                                                                                     ","DIA_TIMON_HELLO2_03_01"
"Romulus","","Was machst du hier?                                                                                                                     ","DIA_TIMON_HELLO2_15_02"
"Romulus","","Schließlich wolltest du mir gerade etwas von Kaly erzählen.                                                                                                                     ","DIA_TIMON_HELLO2_15_03"
"Romulus","","Was machen die beiden hier?                                                                                                                     ","DIA_TIMON_HELLO2_15_04"
"Timon","Sieh, wir haben nicht viel Zeit. Jemand will wirklich nicht, dass du morgen kämpfst und hat mich bezahlt, um mich darum zu kümmern.                                                                                                                     ","DIA_TIMON_HELLO2_03_05"
"Romulus","","Wo ist Kaly? Sprich!                                                                                                                     ","DIA_TIMON_HELLO2_15_06"
"Timon","Ihm geht es gut. Ich habe dafür gesorgt, dass es nicht da ist.                                                                                                                     ","DIA_TIMON_HELLO2_03_07"
"Timon","Genug geredet, tötet ihn!                                                                                                                     ","DIA_TIMON_HELLO2_03_08"

"","","","",""

