"CHARACTER DESCRIPTION"
"Explains the rules of combat in the training arena. Relaxed."

"","","","DIA_SEDZIA_HELLO1"
"Romulus","Hallo, bist du hier der Schiedsrichter?                                                                                                                     ","DIA_SEDZIA_HELLO1_15_01"
"Judge","Bist du Blind?                                                                                                                     ","DIA_SEDZIA_HELLO1_03_02"
"Romulus","Nun, ich kann durchschnittlich sehen.                                                                                                                     ","DIA_SEDZIA_HELLO1_15_03"
"Judge","Ich weiß, ich weiß, bleib ruhig.                                                                                                                     ","DIA_SEDZIA_HELLO1_03_04"
"Judge","Soll ich dir die Regeln des Trainingskampfes erklären?                                                                                                                     ","DIA_SEDZIA_HELLO1_03_05"
"Romulus","Ja.                                                                                                                     ","DIA_SEDZIA_HELLO1_15_06"
"Judge","Kein Problem. Es wird eine Weile dauern, aber ich muss dich in alle Details einweihen. Sag Bescheid, wenn du bereit bist für ein etwas längeres Gespräch.                                                                                                                     ","DIA_SEDZIA_HELLO1_03_07"

"","","","DIA_SEDZIA_HELLO2"
"Romulus","Erkläre mir die Regeln von Trainingskämpfen.                                                                                                                     ","DIA_SEDZIA_HELLO2_15_01"
"Judge","Warte, mein Hals ist trocken. Es ist ein bisschen heiß, nicht wahr?                                                                                                                     ","DIA_SEDZIA_HELLO2_03_02"
"Judge","Okay, dann los.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_03"
"Judge","Zuallererst. KEIN TÖTEN!                                                                                                                     ","DIA_SEDZIA_HELLO2_03_04"
"Judge","Hier kämpfen wir bis zum ersten Blut oder bis zur Kapitulation.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_05"
"Judge","Wir benutzen unsere Waffen, unsere Rüstung, unsere Rüstung und so weiter nicht. Die einzige Ausnahme sind Zaubertränke.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_06"
"Judge","Gehe vor dem Kampf zum Trainer und wähle die Waffe aus, mit der du kämpfen möchtest.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_07"
"Judge","Du kannst den Kampfschrei nicht während des Kampfes verwenden.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_08"
"Judge","Das Verlassen der Arena während eines Kampfes entspricht einer Niederlage.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_09"
"Judge","Du kannst jeden Krieger alle zwei Tage einmal bekämpfen.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_10"
"Judge","So kannst du an zwei Tagen fünf Kämpfe bestreiten.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_11"
"Judge","Nun, das ist so ziemlich alles.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_12"
"Judge","Noch Fragen?                                                                                                                     ","DIA_SEDZIA_HELLO2_03_13"
"Romulus","Was habe ich davon?                                                                                                                     ","DIA_SEDZIA_HELLO2_15_14"
"Judge","Wie zum Teufel? Wertvolle Lektionen, Übung und die Gewissheit, dass einem nichts passiert, was man von Kämpfen in der Hauptarena nicht sagen kann.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_15"
"Judge","Stell nicht so dumme Fragen.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_16"
"Judge","Okay, warum hören wir nicht auf zu reden und kommen wir zur Sache.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_17"
"Judge","Wenn du bereit bist, melde dich beim Trainer. Er wird dir endlich die Erlaubnis geben, mit uns zu trainieren.                                                                                                                     ","DIA_SEDZIA_HELLO2_03_18"
