"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_13_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_13_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_13_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_13_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_13_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_13_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_13_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_13_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_13_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_13_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_13_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_13_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_13_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_13_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_13_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_13_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_13_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_13_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_13_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_13_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_13_RunAway"
"ALARM!                                                                                                                     ","SVM_13_Alarm"
"WACHE!                                                                                                                     ","SVM_13_Guards"
"Hilfe!                                                                                                                     ","SVM_13_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_13_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_13_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_13_RunCoward"
"Raus hier!                                                                                                                     ","SVM_13_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_13_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_13_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_13_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_13_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_13_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_13_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_13_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_13_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_13_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_13_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_13_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_13_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_13_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_13_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_13_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_13_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_13_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_13_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_13_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_13_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_13_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_13_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_13_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_13_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_13_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_13_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_13_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_13_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_13_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_13_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_13_Smalltalk03"
"…als ob ich nicht schon genug Probleme hätte…                                                                                                                     ","SVM_13_Smalltalk04"
"…wer erzählt denn so was…                                                                                                                     ","SVM_13_Smalltalk05"
"…das gibt doch nur noch mehr Ärger…                                                                                                                     ","SVM_13_Smalltalk06"
"…man erzählt sich ja so einiges…                                                                                                                     ","SVM_13_Smalltalk07"
"…ich hätte das nicht gemacht…                                                                                                                     ","SVM_13_Smalltalk08"
"…das sind doch alles nur Gerüchte…                                                                                                                     ","SVM_13_Smalltalk09"
"…man muss eben aufpassen, was man so rumerzählt…                                                                                                                     ","SVM_13_Smalltalk10"
"…das hätte ich dir vorher sagen können…                                                                                                                     ","SVM_13_Smalltalk11"
"…mich fragt ja keiner…                                                                                                                     ","SVM_13_Smalltalk12"
"…der arme Kerl kann einem Leid tun…                                                                                                                     ","SVM_13_Smalltalk13"
"…das ist doch nichts Neues…                                                                                                                     ","SVM_13_Smalltalk14"
