"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_14_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_14_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_14_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_14_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_14_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_14_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_14_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_14_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_14_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_14_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_14_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_14_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_14_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_14_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_14_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_14_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_14_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_14_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_14_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_14_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_14_RunAway"
"ALARM!                                                                                                                     ","SVM_14_Alarm"
"WACHE!                                                                                                                     ","SVM_14_Guards"
"Hilfe!                                                                                                                     ","SVM_14_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_14_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_14_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_14_RunCoward"
"Raus hier!                                                                                                                     ","SVM_14_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_14_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_14_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_14_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_14_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_14_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_14_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_14_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_14_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_14_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_14_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_14_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_14_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_14_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_14_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_14_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_14_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_14_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_14_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_14_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_14_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_14_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_14_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_14_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_14_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_14_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_14_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_14_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_14_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_14_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_14_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_14_Smalltalk03"
