"CHARACTER DESCRIPTION"
"Old"

"","","","","DIA_Pasterz_HELLO1"
"Romulus","","Wer bist du?                                                                                                                     ","DIA_Pasterz_HELLO1_15_01"
"Shepherd","Ich bin hier der Schäfer und kümmere mich um die Schafsherde.                                                                                                                     ","DIA_Pasterz_HELLO1_03_02"
"Romulus","","Warum machst du das? Ich habe auch Bauern gesehen, die die Felder pflügen.                                                                                                                     ","DIA_Pasterz_HELLO1_15_03"
"Shepherd","Ich mache das aus Berufung. Ich kümmere mich seit Jahren um die Schafe und möchte es nicht missen.                                                                                                                     ","DIA_Pasterz_HELLO1_03_04"
"Shepherd","Außerdem, warum Wolle aus anderen Siedlungen kaufen, wenn du sie vor Ort haben könntest.                                                                                                                     ","DIA_Pasterz_HELLO1_03_05"
"Shepherd","Der Älteste ließ mir freie Hand. Aufgrund unserer langjährigen Beziehung kann ich Wolle und Fleisch verkaufen und die Gewinne für mich behalten.                                                                                                                     ","DIA_Pasterz_HELLO1_03_06"
"Shepherd","Und die Bauern müssen viel zu hart arbeiten, sonst verlieren sie ihr Dach über dem Kopf.                                                                                                                     ","DIA_Pasterz_HELLO1_03_07"
"Shepherd","Mit dem Gedreide verdienen sie fast nichts, es reicht fast nur zum Überleben.                                                                                                                     ","DIA_Pasterz_HELLO1_03_08"

"","","","","DIA_Pasterz_HELLO2"
"Romulus","","Kann ich dir mit irgendwas helfen?                                                                                                                     ","DIA_Pasterz_HELLO2_15_01"
"Shepherd","Eigentlich könnte ich die Hilfe eines Gladiators gebrauchen.                                                                                                                     ","DIA_Pasterz_HELLO2_03_02"
"Shepherd","Immer öfter werden meine Schafe nachts von Wölfen angegriffen und entführt.                                                                                                                     ","DIA_Pasterz_HELLO2_03_03"
"Shepherd","Keiner dieser nutzlosen Gardisten will mir dabei helfen.                                                                                                                     ","DIA_Pasterz_HELLO2_03_04"
"Shepherd","Ich werde dich belohnen, wenn du heute Nacht die Wache übernimmst und alle Wölfe tötest, die hier auftauchen.                                                                                                                     ","DIA_Pasterz_HELLO2_03_05"
"Shepherd","Sorge dafür, dass möglichst wenig Schafe sterben.                                                                                                                     ","DIA_Pasterz_HELLO2_03_06"
"Shepherd","Wirst du mir also helfen?                                                                                                                     ","DIA_Pasterz_HELLO2_03_07"

"","","","","DIA_Pasterz_HELLO2_A1"
"Romulus","","Du kannst beruhigt sein, ich kümmere mich um die Wölfe.                                                                                                                     ","DIA_Pasterz_HELLO2_A1_15_01"
"Shepherd","Danke Gladiator. Treffen wir uns gegen Mitternacht auf dem Feld.                                                                                                                     ","DIA_Pasterz_HELLO2_A1_03_02"

"","","","","DIA_Pasterz_HELLO2_A2"
"Romulus","","Ich habe keine Zeit, such dir jemand anderen.                                                                                                                     ","DIA_Pasterz_HELLO2_A2_15_01"
"Shepherd","Ich bin enttäuscht von dir.                                                                                                                     ","DIA_Pasterz_HELLO2_A2_03_02"

"","","","","DIA_Pasterz_HELLO3"
"Shepherd","Da bist du ja, gerade noch rechtzeitig!                                                                                                                     ","DIA_Pasterz_HELLO3_03_01"
"Romulus","","Wie ich es versprochen habe.                                                                                                                     ","DIA_Pasterz_HELLO3_15_02"
"Shepherd","In Ordnung, pass auf meine Schafe auf. Die Wölfe tauchen oft zu dieser Zeit auf.                                                                                                                     ","DIA_Pasterz_HELLO3_03_03"
"Romulus","","Deine Schafe sind bei mir in Sicherheit. 

"","","","","DIA_STARSZY_BOZE"
"Shepherd","Endlich wurden diese abscheulichen Wölfe getötet. Hast du auch den Rudelführer getötet?                                                                                                                     ","DIA_STARSZY_BOZE_03_01"
"Romulus","","Ja, das habe ich. Die anderen Wölfe sollten uns nicht mehr stören.                                                                                                                     ","DIA_STARSZY_BOZE_15_02"
"Shepherd","Endlich sind meine Schafe in Sicherheit!                                                                                                                     ","DIA_STARSZY_BOZE_03_03"
"Shepherd","Dank dir haben die meisten Schafe haben überlebt.                                                                                                                     ","DIA_STARSZY_BOZE_03_04"
"Shepherd","Danke. Die Wölfe haben meine Herde dezimiert, aber ich habe nun etwas Fleisch zum essen…                                                                                                                     ","DIA_STARSZY_BOZE_03_05"
"Shepherd","Danke. Ich muss mich nicht mehr vor den Wölfen fürchten und die Schafe hüten…                                                                                                                     ","DIA_STARSZY_BOZE_03_06"

"","","","",""

