"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_2_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_2_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_2_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_2_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_2_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_2_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_2_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_2_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_2_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_2_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_2_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_2_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_2_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_2_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_2_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_2_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_2_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_2_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_2_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_2_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_2_RunAway"
"ALARM!                                                                                                                     ","SVM_2_Alarm"
"WACHE!                                                                                                                     ","SVM_2_Guards"
"Hilfe!                                                                                                                     ","SVM_2_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_2_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_2_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_2_RunCoward"
"Raus hier!                                                                                                                     ","SVM_2_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_2_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_2_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_2_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_2_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_2_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_2_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_2_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_2_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_2_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_2_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_2_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_2_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_2_WiseMove"
