"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_4_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_4_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_4_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_4_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_4_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_4_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_4_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_4_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_4_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_4_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_4_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_4_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_4_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_4_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_4_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_4_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_4_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_4_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_4_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_4_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_4_RunAway"
"ALARM!                                                                                                                     ","SVM_4_Alarm"
"WACHE!                                                                                                                     ","SVM_4_Guards"
"Hilfe!                                                                                                                     ","SVM_4_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_4_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_4_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_4_RunCoward"
"Raus hier!                                                                                                                     ","SVM_4_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_4_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_4_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_4_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_4_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_4_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_4_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_4_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_4_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_4_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_4_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_4_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_4_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_4_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_4_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_4_OhMyHead"
