"CHARACTER DESCRIPTION"
"Old captain of ship. Like Greg."

"","","","","DIA_Kapitan_HELLO1"
"Romulus","","Wer bist du?                                                                                                                     ","DIA_Kapitan_HELLO1_15_01"
"Captain","Bist du Blind, Junge?                                                                                                                     ","DIA_Kapitan_HELLO1_03_02"
"Captain","Ich bin der Kapitän der Schiffe hier.                                                                                                                     ","DIA_Kapitan_HELLO1_03_03"
"Romulus","","Was machst du als Kapitän?                                                                                                                     ","DIA_Kapitan_HELLO1_15_04"
"Captain","Wir führen alle Arten von Aufträgen für Proxemo und anderen hochrangigen Personen aus.                                                                                                                     ","DIA_Kapitan_HELLO1_03_05"
"Captain","Von einfachen Warentransporten bis hin zu Kämpfen mit Piraten.                                                                                                                     ","DIA_Kapitan_HELLO1_03_06"
"Romulus","","Darf ich dir bei etwas helfen? Ich möchte etwas Geld verdienen.                                                                                                                     ","DIA_Kapitan_HELLO1_15_07"
"Captain","Du bist ein Sklave! Dein Platz ist beim Goldhaufen oder beim Holzsägen.                                                                                                                     ","DIA_Kapitan_HELLO1_03_08"
"Romulus","","Ich bin ein Gladiator.                                                                                                                     ","DIA_Kapitan_HELLO1_15_09"
"Captain","Du bist ein Anwärter darauf, ein Gladiator zu werden! Wenn Proxemo dir diesen Status nach dem morgigen Kampf gibt, dann wirst du es sein! Aber ich würde dir keinen Job geben, bis du nicht deinen ersten Gegner besiegt hast.                                                                                                                     ","DIA_Kapitan_HELLO1_03_10"
"Captain","Geh jetzt!                                                                                                                     ","DIA_Kapitan_HELLO1_03_11"

"","","","","DIA_Kapitan_HELLO2"
"Romulus","","Ich habe Dyadys besiegt. Ich würde gerne für dich arbeiten.                                                                                                                     ","DIA_Kapitan_HELLO2_15_01"
"Captain","Ich habe diesen Kampf gesehen, tolle Arbeit.                                                                                                                     ","DIA_Kapitan_HELLO2_03_02"
"Captain","Ich glaube nicht, dass es ein Problem für dich ist, für mich zu arbeiten.                                                                                                                     ","DIA_Kapitan_HELLO2_03_03"
"Captain","Wenn du für deine erste Mission bereit bist, lasse es mich wissen.                                                                                                                     ","DIA_Kapitan_HELLO2_03_04"
"Romulus","","Was ist meine Aufgabe?                                                                                                                     ","DIA_Kapitan_HELLO2_15_05"
"Captain","Du musst mit meinen Matrosen zu einer kleinen Insel segeln. Ich muss den Schatz finden, den ich einst dort vergraben habe.                                                                                                                     ","DIA_Kapitan_HELLO2_03_06"

"","","","","DIA_Kapitan_NAGRODA1"
"Romulus","","Ich habe die Aufgabe erledigt, ich möchte die Belohnung abholen.                                                                                                                     ","DIA_Kapitan_NAGRODA1_15_01"
"Captain","Ich habe gehört, dass mein Schatz endlich zu mir zurückgekehrt ist.                                                                                                                     ","DIA_Kapitan_NAGRODA1_03_02"
"Captain","Hier sind 200 Gold als Belohnung.                                                                                                                     ","DIA_Kapitan_NAGRODA1_03_03"

"","","","",""

