"CHARACTER DESCRIPTION"
"The boss of the arena in the town of Randale. A Templar who became a slave in the arena. With a strange sense of mission. He behaves in a dignified manner. He is dressed in knightly armour with a cloak."

"","","","","DIA_ROLAND_HELLO1"
"Roland","Der Tag des Gerichts ist also gekommen.                                                                                                                     ","DIA_ROLAND_HELLO1_03_01"
"Roland","Romulus… Ein stolzer Name und ein stolzer Krieger trägt ihn.                                                                                                                     ","DIA_ROLAND_HELLO1_03_02"
"Roland","Dein Ruhm eilt dir voraus, Gladiator.                                                                                                                     ","DIA_ROLAND_HELLO1_03_03"
"Roland","Randal gehört mir, vergiss das nicht.                                                                                                                     ","DIA_ROLAND_HELLO1_03_04"
"Romulus","","Ich weiß nicht… Sieht eher aus wie meins.                                                                                                                     ","DIA_ROLAND_HELLO1_15_05"
"Roland","Dein Selbstvertrauen wird dich in die Irre führen. Es ist die gesegnete Kraft Gottes, die hinter mir steht, und sie wird bei mir bleiben bis zum Ende.                                                                                                                     ","DIA_ROLAND_HELLO1_03_06"
"Roland","Ich habe einmal versprochen, dass ich diese Welt siegreich verlassen werde, wenn ich meine Mission erfüllt habe.                                                                                                                     ","DIA_ROLAND_HELLO1_03_07"
"Romulus","","Seit wann gilt es als heilige Mission, Gladiator zu werden?                                                                                                                     ","DIA_ROLAND_HELLO1_15_08"
"Romulus","","Du bist nur wegen des Ruhms hier, deine Argumente sind umsonst. Sklave.                                                                                                                     ","DIA_ROLAND_HELLO1_15_09"
"Roland","Wie kannst du es wagen, mich einen Sklaven zu nennen?                                                                                                                     ","DIA_ROLAND_HELLO1_03_10"
"Romulus","","Warum? Kann man Freiheit gewinnen oder nicht? Wir sind Sklaven und werden es für den Rest unseres Lebens bleiben.                                                                                                                     ","DIA_ROLAND_HELLO1_15_11"
"Roland","Halt dein Maul! Dein Ende kommt jetzt. Ich werde in dieser Arena bis zum Ende kämpfen. Niemand hat mich jemals besiegt oder wird es jemals tun!                                                                                                                     ","DIA_ROLAND_HELLO1_03_12"
"Roland","Jetzt zücke deine Waffe und zeige, wie viel die Geschichten von Champion Romulus wert sind!                                                                                                                     ","DIA_ROLAND_HELLO1_03_13"
"Romulus","","Ich zeige es dir gerne.                                                                                                                     ","DIA_ROLAND_HELLO1_15_14"

"","","","",""

