"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_5_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_5_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_5_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_5_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_5_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_5_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_5_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_5_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_5_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_5_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_5_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_5_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_5_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_5_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_5_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_5_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_5_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_5_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_5_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_5_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_5_RunAway"
"ALARM!                                                                                                                     ","SVM_5_Alarm"
"WACHE!                                                                                                                     ","SVM_5_Guards"
"Hilfe!                                                                                                                     ","SVM_5_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_5_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_5_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_5_RunCoward"
"Raus hier!                                                                                                                     ","SVM_5_GetOutOfHere"
