"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_6_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_6_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_6_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_6_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_6_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_6_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_6_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_6_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_6_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_6_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_6_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_6_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_6_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_6_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_6_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_6_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_6_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_6_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_6_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_6_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_6_RunAway"
"ALARM!                                                                                                                     ","SVM_6_Alarm"
"WACHE!                                                                                                                     ","SVM_6_Guards"
"Hilfe!                                                                                                                     ","SVM_6_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_6_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_6_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_6_RunCoward"
"Raus hier!                                                                                                                     ","SVM_6_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_6_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_6_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_6_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_6_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_6_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_6_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_6_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_6_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_6_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_6_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_6_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_6_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_6_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_6_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_6_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_6_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_6_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_6_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_6_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_6_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_6_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_6_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_6_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_6_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_6_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_6_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_6_Awake"
