"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_7_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_7_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_7_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_7_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_7_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_7_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_7_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_7_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_7_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_7_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_7_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_7_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_7_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_7_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_7_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_7_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_7_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_7_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_7_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_7_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_7_RunAway"
"ALARM!                                                                                                                     ","SVM_7_Alarm"
"WACHE!                                                                                                                     ","SVM_7_Guards"
"Hilfe!                                                                                                                     ","SVM_7_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_7_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_7_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_7_RunCoward"
"Raus hier!                                                                                                                     ","SVM_7_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_7_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_7_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_7_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_7_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_7_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_7_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_7_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_7_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_7_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_7_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_7_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_7_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_7_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_7_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_7_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_7_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_7_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_7_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_7_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_7_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_7_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_7_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_7_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_7_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_7_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_7_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_7_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_7_THEFT_CRIME"
"…glaubst du wirklich…                                                                                                                     ","SVM_7_Smalltalk01"
"…möglich ist alles…                                                                                                                     ","SVM_7_Smalltalk02"
"…das hätte er doch besser wissen müssen…                                                                                                                     ","SVM_7_Smalltalk03"
