"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_3_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_3_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_3_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_3_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_3_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_3_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_3_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_3_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_3_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_3_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_3_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_3_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_3_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_3_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_3_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_3_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_3_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_3_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_3_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_3_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_3_RunAway"
"ALARM!                                                                                                                     ","SVM_3_Alarm"
"WACHE!                                                                                                                     ","SVM_3_Guards"
"Hilfe!                                                                                                                     ","SVM_3_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_3_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_3_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_3_RunCoward"
"Raus hier!                                                                                                                     ","SVM_3_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_3_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_3_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_3_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_3_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_3_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_3_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_3_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_3_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_3_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_3_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_3_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_3_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_3_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_3_NextTimeYoureInForIt"
