"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_8_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_8_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_8_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_8_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_8_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_8_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_8_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_8_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_8_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_8_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_8_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_8_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_8_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_8_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_8_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_8_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_8_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_8_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_8_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_8_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_8_RunAway"
"ALARM!                                                                                                                     ","SVM_8_Alarm"
"WACHE!                                                                                                                     ","SVM_8_Guards"
"Hilfe!                                                                                                                     ","SVM_8_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_8_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_8_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_8_RunCoward"
"Raus hier!                                                                                                                     ","SVM_8_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_8_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_8_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_8_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_8_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_8_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_8_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_8_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_8_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_8_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_8_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_8_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_8_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_8_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_8_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_8_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_8_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_8_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_8_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_8_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_8_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_8_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_8_CheerFriend02"
"Immer feste drauf!                                                                                                                     ","SVM_8_CheerFriend03"
"Lass dir nichts gefallen!                                                                                                                     ","SVM_8_Ooh01"
"Den wirst du ja wohl schaffen!                                                                                                                     ","SVM_8_Ooh02"
"Das gibt's doch gar nicht!                                                                                                                     ","SVM_8_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_8_Awake"
"Geh mir aus den Augen, dreckiger Dieb!                                                                                                                     ","SVM_8_THEFT_CRIME"
