"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_10_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_10_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_10_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_10_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_10_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_10_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_10_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_10_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_10_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_10_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_10_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_10_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_10_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_10_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_10_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_10_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_10_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_10_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_10_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_10_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_10_RunAway"
"ALARM!                                                                                                                     ","SVM_10_Alarm"
"WACHE!                                                                                                                     ","SVM_10_Guards"
"Hilfe!                                                                                                                     ","SVM_10_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_10_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_10_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_10_RunCoward"
"Raus hier!                                                                                                                     ","SVM_10_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_10_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_10_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_10_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_10_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_10_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_10_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_10_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_10_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_10_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_10_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_10_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_10_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_10_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_10_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_10_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_10_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_10_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_10_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_10_NotBad"
"(zu sich selbst) Was für ein brutaler Kerl…                                                                                                                     ","SVM_10_OhMyGodHesDown"
"Ja, so ist's gut!                                                                                                                     ","SVM_10_CheerFriend01"
"Na, mach schon!                                                                                                                     ","SVM_10_CheerFriend02"
