"CHARACTER DESCRIPTION"
"Captain of guards."

"","","","","DIA_Dowodca_HELLO1"
"Captain","Wer zur Hölle bist du? Du siehst nicht aus wie die anderen Reisenden!                                                                                                                     ","DIA_Dowodca_HELLO1_03_01"
"Romulus","","Weil ich keiner bin. Ich bin hierher gekommen, um in der Arena zu kämpfen.                                                                                                                     ","DIA_Dowodca_HELLO1_15_02"
"Captain","Haha! Ich hätte es erraten können. Ich bin der Kommandant der Wache hier, wenn du etwas falsch machst, wirst du dich an mich erinnern!                                                                                                                     ","DIA_Dowodca_HELLO1_03_03"
"Romulus","","Gut gut. Verstehe.                                                                                                                     ","DIA_Dowodca_HELLO1_15_04"
"Captain","Geh endlich ins Dorf, anstatt wie ein Steinpilz herumzustehen!                                                                                                                     ","DIA_Dowodca_HELLO1_03_05"

"","","","","DIA_HELLO1_HELLO2"
"Captain","Schön, dich zu sehen!                                                                                                                     ","DIA_HELLO1_HELLO2_03_01"
"Romulus","","Du wolltest etwas von mir.                                                                                                                     ","DIA_HELLO1_HELLO2_15_02"
"Captain","Ja, ich möchte dir die Chance geben, etwas Geld zu verdienen. Ich brauche einen Mann, der meinen Wachen beim Kampf gegen die Crawler hilft.                                                                                                                     ","DIA_HELLO1_HELLO2_03_03"
"Romulus","","Crawler sagst du?                                                                                                                     ","DIA_HELLO1_HELLO2_15_04"
"Captain","Ja. Da ist ein winziger Schacht hinter dem Dorf, wahrscheinlich irgendwelche magischen Erzvorkommen und diese Kreaturen.                                                                                                                     ","DIA_HELLO1_HELLO2_03_05"
"Captain","Geh zu Poltar und Moltar, sie sind meine Leute. Du wirst sie hinter der Arena finden und ihnen helfen.                                                                                                                     ","DIA_HELLO1_HELLO2_03_06"
"Romulus","","Alles klar.                                                                                                                     ","DIA_HELLO1_HELLO2_15_07"

"","","","","DIA_HELLO1_DAWA"
"Romulus","","Die Mission ist erfüllt, ich möchte meine Belohnung abholen.                                                                                                                     ","DIA_HELLO1_DAWA_15_01"
"Captain","Natürlich, hier ist die Belohnung.                                                                                                                     ","DIA_HELLO1_DAWA_03_02"

"","","","","DIA_DOWODCA_OMAJHASZ"
"Captain","Und das gilt für dich, ich habe nicht erwartet, dass irgendjemand Izyrion besiegen würde.                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_03_01"
"Captain","Herzlichen Glückwunsch Junge!                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_03_02"
"Romulus","","Danke, ich habe es geschafft.                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_15_03"
"Captain","Haha! Du bist sehr Bescheiden.                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_03_04"
"Captain","Nimm das.                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_03_05"
"Romulus","","Was ist das?                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_15_06"
"Captain","Der Gürtel sollte dir einen gewissen Schutz bieten.                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_03_07"
"Romulus","","Danke.                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_15_08"
"Captain","Zugegeben, ich wollte dich nicht wiedersehen, nach deiner "Hilfe" bei der Räumung der Mine.... Aber herzlichen Glückwunsch.                                                                                                                     ","DIA_DOWODCA_OMAJHASZ_03_09"

"","","","","DIA_CAPTAINVILLAGE_GUARDSKILLED"
"(COMBINED: This dialogue contains speeches which are used in combination to create another dialogues depend of player decisions. That's why, not all speeches are sequential. Partially this dialogue is sequential, but please don't treat in this way enterily dialogue.)"
"(This dialogue is after failed mission.)"
"Captain","Und was machst du hier, soll ich dir etwa gratulieren?                                                                                                                     ","DIA_CAPTAINVILLAGE_GUARDSKILLED_02_00"
"Romulus","","Na ja...                                                                                                                     ","DIA_CAPTAINVILLAGE_GUARDSKILLED_15_01"
"Captain","Danke, dass ihr beide nicht gestorben seid!                                                                                                                     ","DIA_CAPTAINVILLAGE_GUARDSKILLED_02_02"
"Captain","Herzlichen Glückwunsch zu deiner Flucht!                                                                                                                     ","DIA_CAPTAINVILLAGE_GUARDSKILLED_02_03"

"","","","",""

