"CHARACTER DESCRIPTION"
"Gladiator"

"","","","","DIA_HULK_HELLO1"
"Hulk","Ich habe auf dich gewartet.                                                                                                                     ","DIA_HULK_HELLO1_03_01"
"Romulus","","Ach? Und?                                                                                                                     ","DIA_HULK_HELLO1_15_02"
"Hulk","Du hast meinen Cousin getötet.                                                                                                                     ","DIA_HULK_HELLO1_03_03"
"Romulus","","Wen?                                                                                                                     ","DIA_HULK_HELLO1_15_04"
"Hulk","Erinnerst du dich an Hermes? Der Champion der Bucht?                                                                                                                     ","DIA_HULK_HELLO1_03_05"
"Hulk","Ja, das war mein Cousin, und jetzt werde ich ihn rächen!                                                                                                                     ","DIA_HULK_HELLO1_03_06"
"Romulus","","Wir werden sehen!                                                                                                                     ","DIA_HULK_HELLO1_15_07"

"","","","",""

