"CHARACTER DESCRIPTION"
"He doesn't give a damn about the fate of the gladiators, although he has an appreciation for the winners."

"","","","","DIA_ZARZADCA_HELLO1"
"Arena manager","Hallo neuer Gladiator!                                                                                                                     ","DIA_ZARZADCA_HELLO1_03_01"
"Arena manager","Man sagt sich, du bist der Champion aus der Gladiator-Bucht. Ehrlich gesagt glaube ich diese Geschichte nicht.                                                                                                                     ","DIA_ZARZADCA_HELLO1_03_02"
"Romulus","","Ich werde es dir in der Arena beweisen, dass die Geschichte stimmt.                                                                                                                     ","DIA_ZARZADCA_HELLO1_15_03"
"Arena manager","Du kennst die Regeln richtig?                                                                                                                     ","DIA_ZARZADCA_HELLO1_03_04"
"Arena manager","Ein Kampf auf Leben und Tod, alles ist erlaubt, wir greifen nicht vor dem Start an?                                                                                                                     ","DIA_ZARZADCA_HELLO1_03_05"
"Arena manager","Ist dir das alles bekannt?                                                                                                                     ","DIA_ZARZADCA_HELLO1_03_06"
"Romulus","","Ja, ich kenne die Regeln.                                                                                                                     ","DIA_ZARZADCA_HELLO1_15_07"
"Arena manager","Dann komm morgen zu mir, wenn du bereit bist.                                                                                                                     ","DIA_ZARZADCA_HELLO1_03_08"

"","","","","DIA_ZARZADCA_FARMER1"
"Romulus","","Ich bin bereit zu kämpfen!                                                                                                                     ","DIA_ZARZADCA_FARMER1_15_01"
"Arena manager","Dann betritt die Arena, Zorwig wartet auf dich.                                                                                                                     ","DIA_ZARZADCA_FARMER1_03_02"

"","","","","DIA_ZARZADCA_NAGRODA1"
"Romulus","","Ich möchte meine Belohnung für den Sieg über Zorwig einfordern!                                                                                                                     ","DIA_ZARZADCA_NAGRODA1_15_01"
"Arena manager","Wie du meinst.                                                                                                                     ","DIA_ZARZADCA_NAGRODA1_03_02"

"","","","","DIA_ZARZADCA_FARMER2"
"Romulus","","Ich bin bereit für einen weiteren Kampf.                                                                                                                     ","DIA_ZARZADCA_FARMER2_15_01"
