"CHARACTER DESCRIPTION"
"Here you are behaving like a citizen reacting to the actions of a player and gossiping. These are isolated statements from the original Gothic."

"So ein Mistwetter!                                                                                                                     ","SVM_17_Weather"
"Krieg' ich dich DOCH noch!                                                                                                                     ","SVM_17_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_17_DieEnemy"
"Da ist schon wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_17_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_17_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_17_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_17_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_17_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_17_YouAskedForIt"
"Dann muss ich dich eben rausPRÜGELN!                                                                                                                     ","SVM_17_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_17_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_17_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_17_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_17_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_17_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_17_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_17_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_17_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische, okay?                                                                                                                     ","SVM_17_NeverEnterRoomAgain"
"Tu mir nichts!                                                                                                                     ","SVM_17_SpareMe"
"Nichts wie weg!                                                                                                                     ","SVM_17_RunAway"
"ALARM!                                                                                                                     ","SVM_17_Alarm"
"WACHE!                                                                                                                     ","SVM_17_Guards"
"Hilfe!                                                                                                                     ","SVM_17_Help"
"(ruft zu) Gut gemacht!                                                                                                                     ","SVM_17_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_17_NOTNOW"
"(ruft laut) Bleib stehen, du Feigling!                                                                                                                     ","SVM_17_RunCoward"
"Mach, dass du hier rauskommst!                                                                                                                     ","SVM_17_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_17_WhyAreYouInHere"
"Ja, mach, dass du hier wegkommst!                                                                                                                     ","SVM_17_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_17_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_17_YouDisturbedMySlumber"
"Danke für das Gold, du Held!                                                                                                                     ","SVM_17_ITookYourGold"
"Du arme Wurst, hast ja nicht mal Gold dabei!                                                                                                                     ","SVM_17_ShitNoGold"
"Die Waffe nehm ich mal besser an mich!                                                                                                                     ","SVM_17_ITakeYourWeapon"
"Hast du immer noch nicht genug?!                                                                                                                     ","SVM_17_LookingForTroubleAgain"
"Hör auf mit dieser Magie-Scheiße!                                                                                                                     ","SVM_17_StopMagic"
"Willst du Schläge? Hör sofort damit auf!!!                                                                                                                     ","SVM_17_ISaidStopMagic"
"Steck die Waffe weg!                                                                                                                     ","SVM_17_WeaponDown"
"Steck endlich die Scheißwaffe weg!                                                                                                                     ","SVM_17_ISaidWeaponDown"
"Kluges Kerlchen!                                                                                                                     ","SVM_17_WiseMove"
"(zu sich selbst) Das nächste Mal werden wir ja sehen…                                                                                                                     ","SVM_17_NextTimeYoureInForIt"
"(zu sich selbst) Oh Mann, mein Kopf…                                                                                                                     ","SVM_17_OhMyHead"
"(gierig) Ah, ein Kampf!                                                                                                                     ","SVM_17_TheresAFight"
"(bestürzt) Mein Gott, ein Kampf!                                                                                                                     ","SVM_17_OhMyGodItsAFight"
"(böse lachend) Dem hast du's gezeigt!                                                                                                                     ","SVM_17_GoodVictory"
"(anerkennend) Nicht schlecht…                                                                                                                     ","SVM_17_NotBad"
"(zu sich selbst) Mein Gott! Wie brutal…                                                                                                                     ","SVM_17_OhMyGodHesDown"
"Hau drauf!                                                                                                                     ","SVM_17_CheerFriend01"
"Zeig's ihm!                                                                                                                     ","SVM_17_CheerFriend02"
"Mach ihn fertig!                                                                                                                     ","SVM_17_CheerFriend03"
"Schlag zurück!                                                                                                                     ","SVM_17_Ooh01"
"Pass doch auf!                                                                                                                     ","SVM_17_Ooh02"
"Oh! Das tat weh!                                                                                                                     ","SVM_17_Ooh03"
"(herzhaftes Gähnen)                                                                                                                     ","SVM_17_Awake"
"Mit Dieben rede ich nicht - und jetzt geh!                                                                                                                     ","SVM_17_THEFT_CRIME"
"…wirklich? Das ist ja interessant…                                                                                                                     ","SVM_17_Smalltalk01"
"…ich glaube da nicht dran…                                                                                                                     ","SVM_17_Smalltalk02"
"…mein Mann sieht das anders…                                                                                                                     ","SVM_17_Smalltalk03"
"…ach, erzähl mir nicht so was…                                                                                                                     ","SVM_17_Smalltalk04"
"…ehrlich, ich hab es selbst erlebt…                                                                                                                     ","SVM_17_Smalltalk05"
"…was du nicht sagst…                                                                                                                     ","SVM_17_Smalltalk06"
"…das darfst du keinem erzählen…                                                                                                                     ","SVM_17_Smalltalk07"
"…schlimme Zeiten sind das…                                                                                                                     ","SVM_17_Smalltalk08"
"…wer sagt denn so was?…                                                                                                                     ","SVM_17_Smalltalk09"
"…wenn ich es nicht mit eigenen Augen gesehen hätte…                                                                                                                     ","SVM_17_Smalltalk10"
"…irgendwer muss die Arbeit ja machen…                                                                                                                     ","SVM_17_Smalltalk11"
"…ich habe was anderes gehört…                                                                                                                     ","SVM_17_Smalltalk12"
"…das ist mal wieder typisch…                                                                                                                     ","SVM_17_Smalltalk13"
"…er erzählt alles weiter ..                                                                                                                     ","SVM_17_Smalltalk14"
