"CHARACTER DESCRIPTION"
"He doesn't like king Rezenhart. Friendly for Romulus."

"","","","","DIA_Frank_HELLO1"
"Frank","Hey! Warte!                                                                                                                     ","DIA_Frank_HELLO1_03_01"
"Romulus","","(seufzt) Was ist denn?                                                                                                                     ","DIA_Frank_HELLO1_15_02"
"Frank","Ich habe gesehen, wie du hierher gekommen bist, oder besser gesagt, wie du mit Handschellen hierher gebracht wurdest.                                                                                                                     ","DIA_Frank_HELLO1_03_03"
"Frank","Diese restlichen Sklaven sind deine Verwandten?                                                                                                                     ","DIA_Frank_HELLO1_03_04"
"Romulus","","Ich kenne sie nicht, sie sind nicht aus meinem Dorf.                                                                                                                     ","DIA_Frank_HELLO1_15_05"
"Frank","Warum wurtest nur du gefangen genommen und der Rest getötet?                                                                                                                     ","DIA_Frank_HELLO1_03_06"
"Romulus","","Meine Familie und Freunde waren dem derzeitigen Herrscher der Insel gegenüber feindselig und haben uns gegen ihn gestellt.                                                                                                                     ","DIA_Frank_HELLO1_15_07"
"Romulus","","Ich erinnere mich nur an den Moment, als Proxemos Männer zur Insel segelten und das Dorf überfielen.                                                                                                                     ","DIA_Frank_HELLO1_15_08"
"Romulus","","Ihr Kommandant schrie uns zu, dass wir uns freiwillig ergeben müssten, sonst würden wir sterben.                                                                                                                     ","DIA_Frank_HELLO1_15_09"
"Romulus","","Natürlich hat keiner von uns aufgegeben.                                                                                                                    ","DIA_Frank_HELLO1_15_10"
"Romulus","","Niemand hat aufgegeben. Mein Vater, meine Mutter, meine Brüder: Remus und Atros, die Nachbarn und alle anderen Bewohner der Insel. Insgesamt waren wir etwa dreißig.                                                                                                                     ","DIA_Frank_HELLO1_15_11"
"Romulus","","Sobald sie die Antwort hörten, stürzten sie sofort auf uns zu.                                                                                                                     ","DIA_Frank_HELLO1_15_12"
"Romulus","","Ich sah meine Lieben sterben, einer nach dem anderen…                                                                                                                     ","DIA_Frank_HELLO1_15_13"
"Romulus","","Ich war der Letzte, der übrig blieb, die Wachen umringten mich und spielten mit mir.                                                                                                                     ","DIA_Frank_HELLO1_15_14"
"Romulus","","Plötzlich schlug ihr Kommandant vor, ich wäre der perfekte Gladiator.                                                                                                                     ","DIA_Frank_HELLO1_15_15"
"Romulus","","Sie warfen ein Netz über mich, überwältigten mich und schlugen mir mit einem Knüppel auf den Kopf, so dass ich das Bewusstsein verlor.                                                                                                                     ","DIA_Frank_HELLO1_15_16"
"Romulus","","Und so bin ich hierher gekommen.                                                                                                                     ","DIA_Frank_HELLO1_15_17"
"Romulus","","Ich werde mich an allen rächen!                                                                                                                     ","DIA_Frank_HELLO1_15_18"
"Frank","Das ist eine wirklich Traurige Geschichte, ich wünsche dir von ganzem Herzen, dass du dein Ziel erreichst.                                                                                                                     ","DIA_Frank_HELLO1_03_19"

"","","","","DIA_Frank_HELLO2"
"Romulus","","Kannst du mir etwas über diesen Ort erzählen?                                                                                                                     ","DIA_Frank_HELLO2_15_01"
"Frank","Dies ist die Bucht der Gladiatoren.                                                                                                                     ","DIA_Frank_HELLO2_03_02"
"Frank","Sie wurde vor etwa 2 Jahren gegründet, als die Truppen von König Brahim diesen Ort von Piraten zurückeroberten.                                                                                                                     ","DIA_Frank_HELLO2_03_03"
"Frank","Sie hatten hier ihren Hafen.                                                                                                                     ","DIA_Frank_HELLO2_03_04"
"Frank","Nach Brahims Tod ordnete Rezenhart, der auf dem Thron saß, an, die Bucht in einen Ort zu verwandeln, an dem Gladiatorenspiele abgehalten werden sollten.                                                                                                                     ","DIA_Frank_HELLO2_03_05"
"Frank","Hier hat alles angefangen.                                                                                                                     ","DIA_Frank_HELLO2_03_06"
"Frank","Die Bucht war der erste Ort, an dem Kämpfe stattfanden.                                                                                                                     ","DIA_Frank_HELLO2_03_07"
"Frank","Dies ist bis heute so geblieben, und die Gladiatorenspiele waren so erfolgreich, dass Tag für Tag neue Arenen im ganzen Königreich entstanden.                                                                                                                     ","DIA_Frank_HELLO2_03_08"
"Frank","Der König steckt eine Menge Gold in die Organisation von Turnieren. Währenddessen wächst die Bedrohung durch Piraten, Orks und Banditen ständig!                                                                                                                     ","DIA_Frank_HELLO2_03_09"
"Frank","Wo ist der vermisste Bruder von König Brahim? Wo ist Keldrom, der ein viel besserer König wäre?                                                                                                                     ","DIA_Frank_HELLO2_03_10"
"Frank","Rezenhart wird unser Königreich in den Untergang führen.                                                                                                                     ","DIA_Frank_HELLO2_03_11"
"Frank","Die Armen müssen um eine Schüssel Reis kämpfen, und die Reichen geben ihr Gold für die Gelegenheit aus, Unterhaltung direkt aus der Antike zu sehen.                                                                                                                     ","DIA_Frank_HELLO2_03_12"
"Frank","Kämpfe bis zum Tod in der Arena, Sklavenkämpfe, Kämpfe gegen den amtierenden König.                                                                                                                     ","DIA_Frank_HELLO2_03_13"
"Frank","In dieser Arena kämpfen keine Freiwilligen, sondern nur Menschen, die dazu gezwungen werden!                                                                                                                     ","DIA_Frank_HELLO2_03_14"
"Frank","Es sei denn, es handelt sich um Kämpfe, bei denen einer von Proxemos Männern ein paar arme Sklaven zerhacken will, die nicht mehr die Kraft haben, in den Goldminen zu arbeiten.                                                                                                                     ","DIA_Frank_HELLO2_03_15"
"Frank","Ich sollte dir diese Dinge eigentlich nicht sagen. Rezenhart so offen zu kritisieren, kann für mich am Galgen enden!                                                                                                                     ","DIA_Frank_HELLO2_03_16"
"Romulus","","Entspann dich wieder. Niemand wird von mir erfahren, dass du den aktuellen Herrscher nicht magst.                                                                                                                     ","DIA_Frank_HELLO2_15_17"
"Romulus","","Ich hasse ihn auch. Und er wird mein Ziel sein, ich werde meine Lieben rächen!                                                                                                                     ","DIA_Frank_HELLO2_15_18"

"","","","",""

