"CHARACTER DESCRIPTION"
"Gardener. Easter-egg."

"","","","","DIA_Ogrodnik_HOLA"
"Gardener","Hallo!                                                                                                                     ","DIA_Ogrodnik_HOLA_03_01"
"Romulus","","Wie sieht's aus?                                                                                                                     ","DIA_Ogrodnik_HOLA_15_02"
"Gardener","Ich habe meine Gnome irgendwo verloren!                                                                                                                     ","DIA_Ogrodnik_HOLA_03_03"
"Gardener","Die entkommen mir immer wieder, hast du sie?                                                                                                                     ","DIA_Ogrodnik_HOLA_03_04"
"Romulus","","Schon möglich.                                                                                                                     ","DIA_Ogrodnik_HOLA_15_05"
"Gardener","Vielleicht schlage ich dich jetzt nicht mit meinem Rechen, hast du sie oder nicht?                                                                                                                     ","DIA_Ogrodnik_HOLA_03_06"
"Romulus","","Du bist etwas zu aggressiv, alter Mann.                                                                                                                     ","DIA_Ogrodnik_HOLA_15_07"
"Romulus","","Aber ja, ich habe ein paar Gnome gefunden.                                                                                                                     ","DIA_Ogrodnik_HOLA_15_08"
"Gardener","(gierig) Gib her!!                                                                                                                     ","DIA_Ogrodnik_HOLA_03_09"
"Romulus","","Ich werde sie nicht einfach so geben, aber ich könnte sie verkaufen.                                                                                                                     ","DIA_Ogrodnik_HOLA_15_10"
"Gardener","Ich gebe 600 Gold und nicht mehr!                                                                                                                     ","DIA_Ogrodnik_HOLA_03_11"

"","","","","DIA_Ogrodnik_HOLA_A1"
"Romulus","","Nimm dir die Gnome.                                                                                                                     ","DIA_Ogrodnik_HOLA_A1_15_01"
"Gardener","Danke!                                                                                                                     ","DIA_Ogrodnik_HOLA_A1_03_02"

"","","","","DIA_Ogrodnik_HOLA_A2"
"Romulus","","Die Gnome bleiben bei mir.                                                                                                                     ","DIA_Ogrodnik_HOLA_A2_15_01"
"Gardener","Dann wird Lord Tameron von deiner Diebestat erfahren, lebe wohl!                                                                                                                     ","DIA_Ogrodnik_HOLA_A2_03_02"
"Romulus","","(Zueinander) Wozu brauche ich diese Gnome…                                                                                                                     ","DIA_Ogrodnik_HOLA_A2_15_03"

"","","","",""

