"CHARACTER DESCRIPTION"
"Childish. He extorts an autograph from Romulus."

"","","","","DIA_Pieprz_HELLO1"
"Pepper","Hallo, sind sie Herr Romulus, der Gladiator, der Meister der drei Arenen?","DIA_Pieprz_HELLO1_03_01"
"Romulus","","Nein, das ist ein Missverständnis.","DIA_Pieprz_HELLO1_15_02"
"Pepper","Aber was soll das heißen, bitte warten Sie!","DIA_Pieprz_HELLO1_03_03"
"Pepper","Sie müssen es sein. Ich bin ein großer Fan von Ihnen!","DIA_Pieprz_HELLO1_03_04"
"Pepper","Darf ich Sie um ein Autogramm bitten? Bitte bitte!","DIA_Pieprz_HELLO1_03_05"
"Romulus","","Ich habe nichts zu schreiben dabei.","DIA_Pieprz_HELLO1_15_06"
"Pepper","Aber das ist kein Problem, denn einen Stift und Tinte habe ich immer dabei, hier bitte!","DIA_Pieprz_HELLO1_03_07"
"Romulus","","Na dann los...","DIA_Pieprz_HELLO1_15_08"
"Romulus","","Für wen ist das Autorgramm?","DIA_Pieprz_HELLO1_15_09"
"Pepper","Nun, für mich.","DIA_Pieprz_HELLO1_03_10"
"Romulus","","Nun, wie heißt du, denn ich will nicht nicht nur 'Für' schreiben, du verstehst?","DIA_Pieprz_HELLO1_15_11"
"Pepper","Naja, für Pfeffer, einfach nur Pfeffer.","DIA_Pieprz_HELLO1_03_13"
"Romulus","","Dein Name ist Pfeffer?","DIA_Pieprz_HELLO1_15_14"
"Pepper","Ja das ist mein Spitzname.","DIA_Pieprz_HELLO1_03_15"
"Romulus","","Und warum heißt du so?","DIA_Pieprz_HELLO1_15_16"
"Romulus","","Weil du scharf bist?","DIA_Pieprz_HELLO1_15_17"
"Pepper","Nein... Ich hatte mal eine Party mit meinen Kumpels und wir sind etwas durchgedreht.","DIA_Pieprz_HELLO1_03_18"
"Pepper","Wir haben einen Koch eingestellt.","DIA_Pieprz_HELLO1_03_19"
"Pepper","Es waren fünf Gerichte. Ich bin ein großer Fan von guten Gewürzen und meine Freunde wussten davon...","DIA_Pieprz_HELLO1_03_20"
"Pepper","Ich hatte von jedem der acht Gewürze ein wenig hinzugefügt.","DIA_Pieprz_HELLO1_03_21"
"Pepper","Aber ich hatte nicht erwartet, dass diese Bastarde sie alle gegen Pfeffer austauschen würden!","DIA_Pieprz_HELLO1_03_22"
"Pepper","Ich habe den Pfeffer zu jedem dieser Gerichte hinzugefügt. Es war so würzig, dass nichtmal ICH es essen konnte!","DIA_Pieprz_HELLO1_03_23"
"Pepper","Und deshalb nannten die mich danach Pfeffer.","DIA_Pieprz_HELLO1_03_24"
"Romulus","","Eine bewegende Geschichte. Da hast du das Autogramm, und es tut mir leid, aber ich muss gehen.","DIA_Pieprz_HELLO1_15_25"
"Pepper","Aber sicher! Danke, Herr Romulus!","DIA_Pieprz_HELLO1_03_26"
"Pepper","MUTTER! ICH HABE DAS AUTOGRAMM! LASS UNS EINE AUKTION AUF EBAY MACHEN!","DIA_Pieprz_HELLO1_03_27"

"","","","",""

