"CHARACTER DESCRIPTION"
"Crazy. He takes his rat seriously."

"","","","","DIA_NONE_2305_Prisoner_FOOD"
"Prisoner","Zwei Portionen, bitte. Die andere ist für meinen hängenden Kollegen da.                                                                                                                     ","DIA_NONE_2305_Prisoner_FOOD_03_01"
"Romulus","","Eh…Eine muss reichen.                                                                                                                     ","DIA_NONE_2305_Prisoner_FOOD_15_02"

"","","","","DIA_NONE_2305_Prisoner_RAT"
"Romulus","","Kann ich mir die Ratte einen moment ausleihen?                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_15_01"
"Prisoner","Wenn er weggelaufen ist, mag er dich nicht!                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_03_02"
"Romulus","","Irgendein Wächter hat ihm Angst gemacht!                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_15_03"
"Prisoner","(erbost) Dieser kleine schleimige Verbrecher! Okay, da hast du sie nochmal.                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_03_04"
"Prisoner","Ist meine Ratte so berühmt?                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_03_05"
"Romulus","","Ja, und ich möchte sie zum Koch bringen, um sie zu füttern.                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_15_06"
"Prisoner","Füttern… Du willst sie ihm doch zum Kochen geben!                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_03_07"
"Romulus","","Der Koch hat kürzlich Käse bekommen.                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_15_08"
"Prisoner","Käse? Die Ratte beklagte sich kürzlich über eine zu wenig abwechslungsreiche Ernährung. Gut, dass es sowas hier gibt.                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_03_09"
"Romulus","","Danke.                                                                                                                     ","DIA_NONE_2305_Prisoner_RAT_15_02"

"","","","",""

