"c_npc_instance","subtitle_de","subtitle_pl","subtitle_name","dialogue_instance_name"
"PC_HERO","Ich möchte eine Rüstung kaufen.","Chciałbym kupić zbroję.","DIA_CityPlatnerz_ZBROJECZKA_15_01","DIA_CityPlatnerz_ZBROJECZKA"
"PC_HERO","Ich möchte einen Schild kaufen.","Chciałbym kupić tarczę.","DIA_CityPlatnerz_TARCZYSKO_15_01","DIA_CityPlatnerz_TARCZYSKO"
"PC_HERO","Ich möchte einen Helm kaufen.","Chciałbym kupić hełm.","DIA_CityPlatnerz_HELMISZKI_15_01","DIA_CityPlatnerz_HELMISZKI"
"NONE_63316_GbayKaplan","Oh, jemand will mehr als nur Unterhaltung.","Oho, ktoś pragnie nie tylko rozrywki.","DIA_CityKaplan_HELLO1_03_01","DIA_CityKaplan_HELLO1"
"PC_HERO","Hallo Magier.","Witaj magu.","DIA_CityKaplan_HELLO1_15_02","DIA_CityKaplan_HELLO1"
"NONE_63316_GbayKaplan","Hallo. Du siehst aus wie ein Gladiator.","Witaj. Wyglądasz na Gladiatora.","DIA_CityKaplan_HELLO1_03_03","DIA_CityKaplan_HELLO1"
"PC_HERO","Richtig.","Zgadza się.","DIA_CityKaplan_HELLO1_15_04","DIA_CityKaplan_HELLO1"
"NONE_63316_GbayKaplan","Alles zum Thema Magie findest du hier.","Wszystko o magii znajdziesz u mnie.","DIA_Kaplan_HELLO1_03_09","DIA_Kaplan_HELLO1"
"NONE_63316_GbayKaplan","Ich kann dir auch beibringen, wie du dir das Wissen schneller aneignen können. Dies ist eine unschätzbare Fähigkeit in der Anfangsphase der Entwicklung.","Mogę też nauczyć cię, jak szybciej nabywać wiedzę. Jest to nieoceniona umiejętność na początkowym etapie rozwoju.","DIA_GbayKaplan_HELLO1GBAY_03_10","DIA_GbayKaplan_HELLO1GBAY"
"NONE_63316_GbayKaplan","Ich kann sehen, dass du auf das achtest, was ich sage. Dies ist eine der Möglichkeiten, sich Wissen schneller anzueignen.","Widzę, że ze skupieniem słuchasz tego, co mówię. To jeden ze sposobów na szybsze pozyskiwanie wiedzy.","DIA_ForestKaplan_HELLO1_03_10","DIA_ForestKaplan_HELLO1"
"NONE_63316_GbayKaplan","So kann ich dir beibringen, Wissen noch leichter aufzunehmen.","Mogę więc nauczyć cię jeszcze łatwiej chłonąć wiedzę.","DIA_ForestKaplan_HELLO1_03_11","DIA_ForestKaplan_HELLO1"
"PC_HERO","Ich werde daran denken.","Będę pamiętał.","DIA_Kaplan_HELLO1_15_10","DIA_Kaplan_HELLO1"
"PC_HERO","Ich möchte lernen, wie ich die Zuschauer während meiner Kämpfe beeindrucke.","Chciałbym nauczyć się jak zachwycić tłum podczas moich walk.","DIA_Karczmarz_ZACHWYT1_15_01","DIA_Karczmarz_ZACHWYT1"
"NONE_5122_Karczmarz","Äh! Kein Problem!","Nie ma sprawy!","DIA_Karczmarz_ZACHWYT1AS_03_02","DIA_Karczmarz_ZACHWYT1AS"
"NONE_5122_Karczmarz","Das kann ich dir nicht beibringen!","Nie mogę cię tego nauczyć!","DIA_Karczmarz_ZACHWYT1AS_03_03","DIA_Karczmarz_ZACHWYT1AS"
"PC_HERO","Lehre mich den Kampfschrei, einen Schrei, der meinen Gegner von den Füßen reißen wird.","Naucz mnie okrzyku bojowego, okrzyku, który zmiecie z nóg mojego przeciwnika.","DIA_NAUCZYCIEL_TAUNTLEARN_15_01","DIA_NAUCZYCIEL_TAUNTLEARN"
"NONE_63003_Nauczyciel","Denke natürlich daran, dass es viel Energie von dir erfordert. Deine Stärke bestimmt den potenziellen Schaden, der deinen Gegner zugefügt wird.","Oczywiście. Pamiętaj tylko, że wymaga on od ciebie sporo energii. Twoje siła decyduje o potencjalnych obrażeniach zadanych rywalowi.","DIA_NAUCZYCIEL_TAUNTLEARN_03_02","DIA_NAUCZYCIEL_TAUNTLEARN"
"NONE_63003_Nauczyciel","Das kann ich dir nicht beibringen.","Nie mogę cię tego nauczyć.","DIA_NAUCZYCIEL_TAUNTLEARN_03_03","DIA_NAUCZYCIEL_TAUNTLEARN"
"NONE_63003_Nauczyciel","Der Schild verlangsamt Ihre Bewegungen, bietet Ihnen aber zusätzlichen Schutz.","Tarcza spowalnia twoje ruchy, ale daje ci dodatkową ochronę.","DIA_NAUCZYCIEL_TARCZA_A1_03_01","DIA_NAUCZYCIEL_TARCZA_A1"
"NONE_63003_Nauczyciel","Das kann Ihr Leben mehr als einmal retten.","Co nie raz może uratować ci życie.","DIA_NAUCZYCIEL_TARCZA_A1_03_02","DIA_NAUCZYCIEL_TARCZA_A1"
"NONE_63003_Nauczyciel","Während du den Schild hälst, ist es schwieriger, den Gegner zu treffen, aber du erhälst einen großen Vorteil, indem du besser parierst.","Trzymając tarczę trudniej jest trafić przeciwnika, ale zyskujesz ogromną przewagę jaką jest lepsze parowanie ciosów.","DIA_NAUCZYCIEL_TARCZA_A1_03_03","DIA_NAUCZYCIEL_TARCZA_A1"
"NONE_63003_Nauczyciel","Um den Schild richtig zu halten, musst du lernen, wie du das Gewicht ausbalancierst.","Aby poprawnie trzymać tarczę, musisz nauczyć się jak równoważyć obciążenie, które aktualnie posiadasz.","DIA_NAUCZYCIEL_TARCZA_A1_03_04","DIA_NAUCZYCIEL_TARCZA_A1"
"NONE_63003_Nauczyciel","Trainiere ein bisschen, es ist nicht so schwer.","Potrenuj trochę, to nie jest takie trudne.","DIA_NAUCZYCIEL_TARCZA_A1_03_05","DIA_NAUCZYCIEL_TARCZA_A1"
"NONE_5122_Karczmarz","Du kannst es schon.","Już to potrafisz.","DIA_Karczmarz_ZAD_UMIESZ_03_05","DIA_Karczmarz_ZAD_UMIESZ"
"NONE_63003_NAUCZYCIEL","Das kann ich dir nicht beibringen. Gold und Erfahrung!","Nie mogę cię tego nauczyć. Złoto i doświadczenie!","DIA_NAUCZYCIEL_ZAD1_03_05","DIA_NAUCZYCIEL_ZAD1"
"NONE_63003_NAUCZYCIEL","Äh! Kein Problem!","Nie ma sprawy!","DIA_NAUCZYCIEL_WLOCZNIA_B1_03_01","DIA_NAUCZYCIEL_WLOCZNIA_B1"
"NONE_63316_GbayKaplan","Oh! Ein neues Gesicht.","Oho! Nowa twarz.","DIA_Kaplan_HELLO1_03_01","DIA_Kaplan_HELLO1"
"NONE_63316_GbayKaplan","Ich freue mich, dich in meiner Kapelle begrüßen zu dürfen!","Rad cię gościć w mej kaplicy!","DIA_Kaplan_HELLO1_03_02","DIA_Kaplan_HELLO1"
"PC_HERO","Hallo Magier.","Witaj magu.","DIA_Kaplan_HELLO1_15_03","DIA_Kaplan_HELLO1"
"NONE_63316_GbayKaplan","Bist du ein Gladiator?","Jesteś może gladiatorem?","DIA_Kaplan_HELLO1_03_05","DIA_Kaplan_HELLO1"
"PC_HERO","Ja das bin ich, Champion.","Tak mistrzu.","DIA_Kaplan_HELLO1_15_06","DIA_Kaplan_HELLO1"
"NONE_63316_GbayKaplan","Das dachte ich mir, nun ja, immer mehr Menschen opfern ihr Leben in der Arena, um Geld zu verdienen…","Tak myślałem, no cóż, coraz więcej ludzi oddaje życie na arenie w pogoni za pieniędzmi…","DIA_Kaplan_HELLO1_03_07","DIA_Kaplan_HELLO1"
"NONE_63316_GbayKaplan","Wenn du Magie ausprobieren möchtest, kann ich dir Zaubersprüche beibringen und Schriftrollen und Stäbe verkaufen.","Jeśli chciałbyś spróbować magii, mogę nauczyć cię trochę o używaniu zaklęć i sprzedać zwoje oraz kostury.","DIA_Kaplan_HELLO1_03_08","DIA_Kaplan_HELLO1"
"PC_HERO","Lehre mich Regeneration.","Naucz mnie regeneracji.","DIA_Kaplan_REGHP_15_01","DIA_Kaplan_REGHP"
