"CHARACTER DESCRIPTION"
"Relaxed, rather friendly in conversation."

"","","","","DIA_Zarzadcaforest_HELLO1"
"Arena manager","Oh, der Champion selbst. Ich kann es kaum erwarten, dich gegen Robin kämpfen zu sehen.                                                                                                                     ","DIA_Zarzadcaforest_HELLO1_03_01"
"Romulus","","Robin?                                                                                                                     ","DIA_Zarzadcaforest_HELLO1_15_02"
"Arena manager","Unser Lord hat deine Ankunft sehnsüchtig erwartet.                                                                                                                     ","DIA_Zarzadcaforest_HELLO1_03_03"
"Arena manager","Ich bin hier der Arenaleiter. Wenn du bereit bist zu kämpfen, komm zu mir.                                                                                                                     ","DIA_Zarzadcaforest_HELLO1_03_04"

"","","","","DIA_ZARZADCAFOREST_NAGRODKA1"
"Romulus","","Ich möchte die Belohnung für den Kampf einsammeln.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA1_15_01"
"Arena manager","Aber natürlich.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA1_03_02"
"Arena manager","Hier ist dein Geld.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA1_03_03"
"Romulus","","Wirklich viel.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA1_15_04"
"Arena manager","Das hier ist nicht die Gladiatoren-Bucht oder ein Dorf. Die Einsätze sind hier viel höher.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA1_03_05"
"Arena manager","Aber das ist nur zu deinem Vorteil.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA1_03_06"

"","","","","DIA_ZARZADCAFOREST_FOREST2"
"Romulus","","Ich bin bereit für einen weiteren Kampf.                                                                                                                     ","DIA_ZARZADCAFOREST_FOREST2_15_01"
"Arena manager","Dann rein in die Arena.                                                                                                                     ","DIA_ZARZADCAFOREST_FOREST2_03_02"

"","","","","DIA_ZARZADCAFOREST_NAGRODKA2"
"Romulus","","Ich möchte die Belohnung für den Kampf einsammeln.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA2_15_01"
"Arena manager","Hier hast du sie.                                                                                                                     ","DIA_ZARZADCAFOREST_NAGRODKA2_03_02"

"","","","","DIA_ZARZADCAFOREST_TRUDNESIEWYLOSOWALO"
"Arena manager","Nun, dir steht ein harter Kampf bevor.                                                                                                                     ","DIA_ZARZADCAFOREST_TRUDNESIEWYLOSOWALO_03_01"
"Romulus","","Ich habe mich schon einmal mit einem Kampf wie diesem auseinandergesetzt.                                                                                                                     ","DIA_ZARZADCAFOREST_TRUDNESIEWYLOSOWALO_15_02"
"Arena manager","Aber nicht als Champion. Sei nicht überrascht, wenn du zuerst von ein paar Leuten angegriffen wirst.                                                                                                                     ","DIA_ZARZADCAFOREST_TRUDNESIEWYLOSOWALO_03_03"
"Romulus","","Es verändert die Dinge.                                                                                                                     ","DIA_ZARZADCAFOREST_TRUDNESIEWYLOSOWALO_15_04"
"Arena manager","Betritt die Arena. Wir warten nur auf dich.                                                                                                                     ","DIA_ZARZADCAFOREST_TRUDNESIEWYLOSOWALO_03_05"

"","","","","DIA_ZARZADCAFOREST_FOREST4"
"Romulus","","Ich bin bereit für einen weiteren Kampf.                                                                                                                     ","DIA_ZARZADCAFOREST_FOREST4_15_01"
