"CHARACTER DESCRIPTION"
"Boss of the arena in the village of Gallen. Initially, he hustles an unassuming old man to help Romulus join the tournament. Already in the arena, he behaves like an old samurai."

"","","","","DIA_Izyrion_HELLO1"
"Izyrion","Ein Gast! Was führt dich zu uns ins Dorf Gallen?                                                                                                                     ","DIA_Izyrion_HELLO1_03_01"
"Romulus","","Die Arena.                                                                                                                     ","DIA_Izyrion_HELLO1_15_02"
"Izyrion","Ah ja, du siehst aus wie jemand, der gerne in der Arena kämpfen würde.                                                                                                                     ","DIA_Izyrion_HELLO1_03_03"
"Izyrion","Aber ich muss dich enttäuschen. Nur der Eigentümer der Arena entscheidet, wer darin kämpfen darf.                                                                                                                     ","DIA_Izyrion_HELLO1_03_04"
"Izyrion","Der Dorfälteste lässt niemanden herein.                                                                                                                     ","DIA_Izyrion_HELLO1_03_05"
"Romulus","","Ich bin der Champion aus der Gladiatoren Bucht!                                                                                                                     ","DIA_Izyrion_HELLO1_15_06"
"Izyrion","Ach? Und hast du ein Dokument von Proxemo, das dies bestätigt?                                                                                                                     ","DIA_Izyrion_HELLO1_03_07"
"Romulus","","Proxemo ist tot. Er konnte es mir nicht aushändigen.                                                                                                                     ","DIA_Izyrion_HELLO1_15_08"
"Izyrion","Was? Proxemo ist tot?                                                                                                                     ","DIA_Izyrion_HELLO1_03_09"
"Romulus","","Ja - er starb während eines Sklavenaufstands.                                                                                                                     ","DIA_Izyrion_HELLO1_15_10"
"Izyrion","Ich wusste, dass es ihm nichts nützen würde, so viele Gefangene hereinzubringen.                                                                                                                     ","DIA_Izyrion_HELLO1_03_11"
"Izyrion","Aber wie gesagt. Ohne Dokument bist du kein Champion!                                                                                                                     ","DIA_Izyrion_HELLO1_03_12"
"Romulus","","Wie komme ich also in die Arena?                                                                                                                     ","DIA_Izyrion_HELLO1_15_13"
"Izyrion","Sprich mit dem Dorfältesten. Er ist hier der Eigentümer.                                                                                                                     ","DIA_Izyrion_HELLO1_03_14"

"","","","","DIA_IZYRION_HELLO2"
"Izyrion","Herzlichen Glückwunsch junger Mann.                                                                                                                     ","DIA_IZYRION_HELLO2_03_01"
"Romulus","","Danke, alter Mann. Hast du meinen Kampf gesehen?                                                                                                                     ","DIA_IZYRION_HELLO2_15_02"
"Izyrion","Ja.                                                                                                                     ","DIA_IZYRION_HELLO2_03_03"
"Romulus","","Warum?                                                                                                                     ","DIA_IZYRION_HELLO2_15_04"
"Izyrion","Ich weiß, wer du bist und wonach du strebst.                                                                                                                     ","DIA_IZYRION_HELLO2_03_05"
"Romulus","","Wovon?                                                                                                                     ","DIA_IZYRION_HELLO2_15_06"
"Izyrion","(grinst) Ich hab so meine Quellen. Einen schönen Tag noch.                                                                                                                     ","DIA_IZYRION_HELLO2_03_07"

"","","","","DIA_Izyrion_HELLO1AS"
"Izyrion","Nun, dieser Kampf hat endlich begonnen.                                                                                                                     ","DIA_Izyrion_HELLO1AS_03_01"
"Romulus","","Warte! Du bist es?                                                                                                                     ","DIA_Izyrion_HELLO1AS_15_02"
"Romulus","","Du bist der nervige alte Mann.                                                                                                                     ","DIA_Izyrion_HELLO1AS_15_03"
"Izyrion","Ein alter Mann, der die Ursache deines Todes sein wird.                                                                                                                     ","DIA_Izyrion_HELLO1AS_03_04"
"Izyrion","Nur weil du in der Bucht Champion geworden bist, heißt das nicht, dass du mir hier den Titel wegnehmen kannst.                                                                                                                     ","DIA_Izyrion_HELLO1AS_03_05"
"Romulus","","Lass uns dieses Gespräch nicht verlängern, es ist Zeit, dem Leben Lebewohl zu sagen, alter Mann!                                                                                                                     ","DIA_Izyrion_HELLO1AS_15_06"

"","","","",""

