"CHARACTER DESCRIPTION"
"Carp-buyer. Easter-egg."

"","","","","DIA_Kupiec_KARPIEDAWAJ"
"Carp merchant","Ich habe gesehen, wie du diesen Karpfen begraben hast.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_03_02"
"Romulus","","Das ist mein Karpfen.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_15_03"
"Carp merchant","Ich weiß, ich weiß, aber ich könnte es zurückkaufen…                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_03_04"
"Carp merchant","Eigentlich alles, was du hast.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_03_05"
"Romulus","","Für wie viel?                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_15_06"
"Carp merchant","Für 100 Gold.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_03_07"

"","","","","DIA_Kupiec_KARPIEDAWAJ_A1"
"Romulus","","Bitte nimm diese Fische.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A1_15_01"
"Carp merchant","Danke, hier ist deine Bezahlung.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A1_03_02"

"","","","","DIA_Kupiec_KARPIEDAWAJ_A2"
"Romulus","","Das ist zu wenig!                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A2_15_01"
"Carp merchant","(verblüfft) Was? Warte!                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A2_03_02"
"Carp merchant","200, ich gebe dir 200 und kein Goldstück mehr.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A2_03_03"
"Romulus","","Jetzt machen wir einen Deal, du hast den Fisch.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A2_15_04"

"","","","","DIA_Kupiec_KARPIEDAWAJ_A3"
"Romulus","","Ich werde ihn nicht verkaufen, er gehört mir.                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A3_15_01"
"Carp merchant","Mögen die Gräten in deinem Hals stecken bleiben!                                                                                                                     ","DIA_Kupiec_KARPIEDAWAJ_A3_03_02"

"","","","",""

