"CHARACTER DESCRIPTION"
"Young, a bit silly, ambitious."

"","","","","DIA_Zwiadowca_HELLO1"
"Scout","Sei vorsichtig, komm nicht näher.                                                                                                                     ","DIA_Zwiadowca_HELLO1_03_01"
"Romulus","","Wie ist die Situation?                                                                                                                     ","DIA_Zwiadowca_HELLO1_15_02"
"Scout","Sie erwarten uns nicht, Regen und Nebel verschaffen uns einen großen Vorteil.                                                                                                                     ","DIA_Zwiadowca_HELLO1_03_03"
"Scout","Sie sind Zahlenmäßig größer als wir, aber dafür sind wir wesentlich Stärker.                                                                                                                     ","DIA_Zwiadowca_HELLO1_03_04"
"Romulus","","Wir sind also bereit, ich sage Recker Bescheid.                                                                                                                     ","DIA_Zwiadowca_HELLO1_15_05"
"Scout","Ich komme mit dir zurück.                                                                                                                     ","DIA_Zwiadowca_HELLO1_03_06"

"","","","","DIA_Zwiadowca_THANKS"
"Scout","Danke, ich weiß das wirklich zu schätzen.                                                                                                                     ","DIA_Zwiadowca_THANKS_03_01"
"Romulus","","Bleib nah bei mir und du wirst nicht sterben.                                                                                                                     ","DIA_Zwiadowca_THANKS_15_02"
"Scout","Ja, Sir!                                                                                                                     ","DIA_Zwiadowca_THANKS_03_03"

"","","","","DIA_Zwiadowca_AFTERFIGHT"
"Scout","Dieser Kampf hat mein Leben verändert!                                                                                                                     ","DIA_Zwiadowca_AFTERFIGHT_03_01"
"Romulus","","Ja, es ist gut, dass du bei mir geblieben bist.                                                                                                                     ","DIA_Zwiadowca_AFTERFIGHT_15_02"
"Scout","Von nun an schickt mich der Kommandant zum Auskundschaften auch hinter die feindlichen Linien!                                                                                                                     ","DIA_Zwiadowca_AFTERFIGHT_03_03"
"Scout","Leider habe ich nichts zu verdanken. Ich trage fast nichts, um schneller zu laufen.                                                                                                                     ","DIA_Zwiadowca_AFTERFIGHT_03_04"
"Romulus","","Ja. Und lass dich nicht töten!                                                                                                                     ","DIA_Zwiadowca_AFTERFIGHT_15_05"

"","","","",""

