"So ein Mistwetter!                                                                                                                     ","SVM_X_Weather"
"Krieg ich dich DOCH noch!                                                                                                                     ","SVM_X_IGetYouStill"
"Jetzt bist du dran!                                                                                                                     ","SVM_X_DieEnemy"
"Da ist wieder eins von diesen Drecksviechern!                                                                                                                     ","SVM_X_DieMonster"
"Na warte, du dreckiger Dieb!                                                                                                                     ","SVM_X_DirtyThief"
"Finger weg da!                                                                                                                     ","SVM_X_HandsOff"
"Das verdammte Mistvieh frisst unsere Schafe!                                                                                                                     ","SVM_X_SheepKillerMonster"
"Hier kommen keine Viecher rein!                                                                                                                     ","SVM_X_DieStupidBeast"
"Du hast es so gewollt!                                                                                                                     ","SVM_X_YouAskedForIt"
"Dann muss ich dich eben rausprügeln!                                                                                                                     ","SVM_X_ThenIBeatYouOutOfHere"
"Was hattest DU denn da drin zu suchen, he!?                                                                                                                     ","SVM_X_WhatDidYouDoInThere"
"Stirb, Mistkerl!                                                                                                                     ","SVM_X_KillEnemy"
"Ein Mistvieh weniger!                                                                                                                     ","SVM_X_MonsterKilled"
"Versuch nie wieder, mich zu bestehlen!                                                                                                                     ","SVM_X_ThiefDown"
"Lass in Zukunft die Finger von Sachen, an denen du nichts zu suchen hast!                                                                                                                     ","SVM_X_rumfummlerDown"
"So ein saublödes Vieh!                                                                                                                     ","SVM_X_StupidBeastKilled"
"Du hättest auf mich hören sollen!                                                                                                                     ","SVM_X_YouBetterShouldHaveListened"
"Und jetzt mach, dass du hier rauskommst!                                                                                                                     ","SVM_X_GetUpAndBeGone"
"Und dass ich dich nie wieder da drin erwische!                                                                                                                     ","SVM_X_NeverEnterRoomAgain"
"Lass mich bloß in Ruhe!                                                                                                                     ","SVM_X_SpareMe"
"Scheiße! Nichts wie weg!                                                                                                                     ","SVM_X_RunAway"
"ALARM!                                                                                                                     ","SVM_X_Alarm"
"WACHE!                                                                                                                     ","SVM_X_Guards"
"Hilfe!                                                                                                                     ","SVM_X_Help"
"(ruft zu) Gut gemacht - ein Drecksvieh weniger!                                                                                                                     ","SVM_X_GoodMonsterKill"
"Lass mich in Ruhe!                                                                                                                     ","SVM_X_NOTNOW"
"(ruft laut) Bleib stehen, du Lump!                                                                                                                     ","SVM_X_RunCoward"
"Raus hier!                                                                                                                     ","SVM_X_GetOutOfHere"
"Was suchst du hier!? Geh!                                                                                                                     ","SVM_X_WhyAreYouInHere"
"Ja, mach, dass du wegkommst!                                                                                                                     ","SVM_X_YesGoOutOfHere"
"Hey du! Was schleichst du da rum.                                                                                                                     ","SVM_X_WhatsThisSupposedToBe"
"(wacht auf) Verdammt, was ist los?                                                                                                                     ","SVM_X_YouDisturbedMySlumber"
"Gold! Das ist schon mal meins…                                                                                                                     ","SVM_X_ITookYourGold"
"Der Mistkerl hat noch nicht mal Gold dabei.                                                                                                                     ","SVM_X_ShitNoGold"
"Deine Waffe nehm' ich mal lieber mit.                                                                                                                     ","SVM_X_ITakeYourWeapon"
"(aggressiv) Hast du immer noch nicht genug?!                                                                                                                     ","SVM_X_LookingForTroubleAgain"
"Geh bloß weg mit deiner Magie!                                                                                                                     ","SVM_X_StopMagic"
"Weg mit der Magie! Hörst du schlecht!?                                                                                                                     ","SVM_X_ISaidStopMagic"
"Weg mit der Waffe!                                                                                                                     ","SVM_X_WeaponDown"
"Hörst du schlecht? Ich sagte: Weg mit der Waffe!                                                                                                                     ","SVM_X_ISaidWeaponDown"
"Na bitte, geht doch!                                                                                                                     ","SVM_X_WiseMove"
"(zu sich selbst) Darüber reden wir noch…                                                                                                                     ","SVM_X_NextTimeYoureInForIt"
"(zu sich selbst) Oh, mein Schädel…                                                                                                                     ","SVM_X_OhMyHead"
"(gierig) Jetzt geht's zur Sache!                                                                                                                     ","SVM_X_TheresAFight"
"(bestürzt) Die hauen sich den Schädel ein…                                                                                                                     ","SVM_X_OhMyGodItsAFight"
"(böse lachend) Das hat er verdient.                                                                                                                     ","SVM_X_GoodVictory"
"(anerkennend) Gar nicht so übel…                                                                                                                     ","SVM_X_NotBad"
