"CHARACTER DESCRIPTION"
"Executioner from prison. Sadistic"

"","","","","DIA_KAT_HELLO1"
"Executioner","Hast du dich verlaufen, Kleiner?                                                                                                                     ","DIA_KAT_HELLO1_03_01"
"Romulus","","Oh verdammt, was ist das für ein Ort?                                                                                                                     ","DIA_KAT_HELLO1_15_02"
"Executioner","Haha! Ralf, du bringst mich immer zum Lachen.                                                                                                                     ","DIA_KAT_HELLO1_03_03"
"Romulus","","Ich versuche es immer wieder.                                                                                                                     ","DIA_KAT_HELLO1_15_04"
"Executioner","Schau was ich gefunden habe, damit kann man schön herumspielen.                                                                                                                     ","DIA_KAT_HELLO1_03_05"
"Romulus","","Äh, was? (sagte ich mit zitternder Stimme)                                                                                                                     ","DIA_KAT_HELLO1_15_06"
"Executioner","Nun diese hier.                                                                                                                     ","DIA_KAT_HELLO1_03_07"
"Executioner","Das habe ich nur gemacht um die schreien zu hören! Ich liebe meinen Job.                                                                                                                     ","DIA_KAT_HELLO1_03_08"
"Romulus","","Ich glaube, der Typ lächelt noch.                                                                                                                     ","DIA_KAT_HELLO1_15_09"
"Executioner","Unsinn, ich bin sicher, er ist tot.                                                                                                                     ","DIA_KAT_HELLO1_03_10"
"Romulus","","Ich muss gehen, ich muss weiter arbeiten…                                                                                                                     ","DIA_KAT_HELLO1_15_11"
"Executioner","Sicher!                                                                                                                     ","DIA_KAT_HELLO1_03_12"

"","","","","DIA_KAT_SHARKS"
"Executioner","Mit Leichen zu spielen ist spannend, solange man selbst lebt.                                                                                                                     ","DIA_KAT_SHARKS_03_01"
"Executioner","Was bei so vielen Schlangen nicht so sicher ist.                                                                                                                     ","DIA_KAT_SHARKS_03_02"
"Romulus","","Lass uns gehen. Es ist bald vorbei.                                                                                                                     ","DIA_KAT_SHARKS_15_03"

"","","","",""

