"CHARACTER DESCRIPTION"
"Sailor."

"","","","","DIA_Marynarz_HELLO1"
"Sailor","Nun, hier sind wir Gladiator.                                                                                                                     ","DIA_Marynarz_HELLO1_03_01"
"Romulus","","Was machen wir hier?                                                                                                                     ","DIA_Marynarz_HELLO1_15_02"
"Sailor","Wir suchen nach Schätzen. Die Insel ist wirklich winzig. Es sollte nicht allzu lange dauern.                                                                                                                     ","DIA_Marynarz_HELLO1_03_03"

"","","","","DIA_Marynarz_HELLO2"
"Sailor","Du hast den Schatz gefunden! Gratuliere. Gib ihn mir, damit ich ihn dem Kapitän geben kann.                                                                                                                     ","DIA_Marynarz_HELLO2_03_01"
"Romulus","","Hier ist er.                                                                                                                     ","DIA_Marynarz_HELLO2_15_02"
"Sailor","Haha! Und ich dachte du willst jetzt sagen: Nein ich gebe ihn dir nicht! Der Schatz gehört nun mir!                                                                                                                     ","DIA_Marynarz_HELLO2_03_03"
"Sailor","Das wäre ziemlich lustig geworden.                                                                                                                     ","DIA_Marynarz_HELLO2_03_04"
"Romulus","","Gehen wir zurück in die Bucht. Ich habe einen Kampf vor mir.                                                                                                                     ","DIA_Marynarz_HELLO2_15_05"
"Sailor","Natürlich Gladiator.                                                                                                                     ","DIA_Marynarz_HELLO2_03_06"

"","","","",""

