"CHARACTER DESCRIPTION"
"Innkeeper"

"","","","DIA_Karczmarka_KARCZMARKA1"
"Innkeeper-female","Hey! Bist du nicht derjenige, über den alle reden?                                                                                                                     ","DIA_Karczmarka_KARCZMARKA1_03_01"
"Innkeeper-female","Meine Glückwünsche, Herr der Bucht und des Dorfes.                                                                                                                     ","DIA_Karczmarka_KARCZMARKA1_03_02"
"Innkeeper-female","Trinke unsere Spezialität, ein Bier mit einem unverwechselbaren Geschmack nach Waldflieder mit dem Zusatz von Heidelbeeren.                                                                                                                     ","DIA_Karczmarka_KARCZMARKA1_03_03"
"Romulus","","Danke.                                                                                                                     ","DIA_Karczmarka_KARCZMARKA1_15_04"

"","","","DIA_Karczmarka_KARCZMARKA2"
"Innkeeper-female","Ich habe deinen Kampf gesehen, was für ein Spektakel.                                                                                                                     ","DIA_Karczmarka_KARCZMARKA2_03_01"
"Innkeeper-female","Du verdienst eine Belohnung, bitte, hier ist ein weiteres Special.                                                                                                                     ","DIA_Karczmarka_KARCZMARKA2_03_02"
"Innkeeper-female","Nadelglück, aber keine Sorge, es hat keine Nadeln.                                                                                                                     ","DIA_Karczmarka_KARCZMARKA2_03_03"
"Romulus","","Warum also der Name?                                                                                                                     ","DIA_Karczmarka_KARCZMARKA2_15_04"
"Innkeeper-female","Weil es ein Bier ist, das auf dem Saft von Nadelbäumen gemacht wird, einem alten Rezept.                                                                                                                     ","DIA_Karczmarka_KARCZMARKA2_03_05"
