"CHARACTER DESCRIPTION"
"Hunter"

"","","","","DIA_MYSLIWY_GOHUNTJINKS"
"Romulus","","Lass uns jagen gehen, ich soll mit dir gehen.                                                                                                                     ","DIA_MYSLIWY_GOHUNTJINKS_15_01"
"Jinks","Okay, ich bin Jinks. Ich jage jetzt seit 13 Jahren, bei mir wird es dir gut gehen.                                                                                                                     ","DIA_MYSLIWY_GOHUNTJINKS_03_02"
"Romulus","","Gut zu hören.                                                                                                                     ","DIA_MYSLIWY_GOHUNTJINKS_15_03"

"","","","","DIA_MYSLIWY_GOTOFOREST"
"Jinks","Gehen wir weiter! Zögere nicht.                                                                                                                     ","DIA_MYSLIWY_GOTOFOREST_03_01"

"","","","","DIA_MYSLIWY_FINALJINKSGO"
"Jinks","Wir haben so ziemlich alles getötet, aber ich weiß nicht, ob ich nicht etwas hinter den Büschen übersehen habe …                                                                                                                     ","DIA_MYSLIWY_FINALJINKSGO_03_01"
"Jinks","Wir gehen sicherheitshalber mitten durch den Wald zurück.                                                                                                                     ","DIA_MYSLIWY_FINALJINKSGO_03_02"

"","","","","DIA_MYSLIWY_GOTOCAMPKJINKA"
"Jinks","Geschafft. Wir gehen zurück ins Lager, ich habe diesen Wald satt.                                                                                                                     ","DIA_MYSLIWY_GOTOCAMPKJINKA_03_01"

"","","","","DIA_MYSLIWY_RANDOM5"
"Jinks","Ein ausgezeichneter Jäger hat ein ausgezeichnetes Sehvermögen!                                                                                                                     ","DIA_MYSLIWY_RANDOM5_03_01"

"","","","",""

