"CHARACTER DESCRIPTION"
"He doesn't like king Rezenhart. Friendly for Romulus."

"","","","","DIA_Frank_HELLO1"
"Frank","Hey! Warten!                                                                                                                     ","DIA_Frank_HELLO1_03_01"
"Romulus","","(seufzt) Was denn?                                                                                                                     ","DIA_Frank_HELLO1_15_02"
"Frank","Ich habe gesehen, wie du hierher gekommen bist, oder besser gesagt, wie du hierher gebracht wurdest, mit Handschellen.                                                                                                                     ","DIA_Frank_HELLO1_03_03"
"Frank","Diese restlichen Sklaven sind deine Verwandten?                                                                                                                     ","DIA_Frank_HELLO1_03_04"
"Romulus","","Ich kenne dich nicht, du bist nicht aus meinem Dorf.                                                                                                                     ","DIA_Frank_HELLO1_15_05"
"Frank","Warum wurtest nur du gefangen genommen und der Rest getötet?                                                                                                                     ","DIA_Frank_HELLO1_03_06"
"Romulus","","Meine Familie und die Zuschauer, die wir kannten, waren feindselig und wir waren die einzigen auf der Insel, die sich gegen den derzeitigen Herrscher stellten.                                                                                                                     ","DIA_Frank_HELLO1_15_07"
"Romulus","","Ich erinnere mich nur an den Moment, als Proxemos Männer zur Insel segelten und in das Dorf eindrangen.                                                                                                                     ","DIA_Frank_HELLO1_15_08"
"Romulus","","Ihr Kommandant schrie uns zu, dass wir uns freiwillig ergeben müssten oder wir würden sterben.                                                                                                                     ","DIA_Frank_HELLO1_15_09"
"Romulus","","Natürlich hat keiner von uns aufgegeben.                                                                                                                     ","DIA_Frank_HELLO1_15_10"
"Romulus","","Niemand hat aufgegeben. Sowohl mein Vater als auch meine Mutter und zwei Brüder: Remus und Atros und die Nachbarn und der Rest der Einwohner, und wir waren ungefähr dreißig, ich lebte in einem kleinen Dorf.                                                                                                                     ","DIA_Frank_HELLO1_15_11"
"Romulus","","Als sie die Antwort hörten, stürzten sie sich sofort auf uns.                                                                                                                     ","DIA_Frank_HELLO1_15_12"
"Romulus","","Ich sah meine Lieben sterben, einer nach dem anderen…                                                                                                                     ","DIA_Frank_HELLO1_15_13"
"Romulus","","Ich war der Letzte, der übrig blieb, die Wachen umringten mich und spielten mit mir.                                                                                                                     ","DIA_Frank_HELLO1_15_14"
"Romulus","","Plötzlich schlug ihr Kommandant vor, ich wäre der perfekte Gladiator.                                                                                                                     ","DIA_Frank_HELLO1_15_15"
