"CHARACTER DESCRIPTION"
"Guard. Chill and funny."

"","","","","DIA_STRAZNIK_HELLO1"
"Guard","Gladiator Romulus?                                                                                                                     ","DIA_STRAZNIK_HELLO1_03_01"
"Romulus","","Richtig.                                                                                                                     ","DIA_STRAZNIK_HELLO1_15_02"
"Guard","Der Herr möchte mit dir sprechen. Er ruft dich in sein Zelt.                                                                                                                     ","DIA_STRAZNIK_HELLO1_03_03"
"Guard","Er erwartet dich sobald wie möglich.                                                                                                                     ","DIA_STRAZNIK_HELLO1_03_04"
"Romulus","","Okay, dann gehe ich zu ihm.                                                                                                                     ","DIA_STRAZNIK_HELLO1_15_05"
"Guard","Super, dann ist meine Aufgabe erledigt, Zeit für ein Bier im Wirtshaus.                                                                                                                     ","DIA_STRAZNIK_HELLO1_03_06"
"Romulus","","Wer hat gefragt?                                                                                                                     ","DIA_STRAZNIK_HELLO1_15_07"
"Guard","Was?                                                                                                                     ","DIA_STRAZNIK_HELLO1_03_08"
"Romulus","","Vergiss es.                                                                                                                     ","DIA_STRAZNIK_HELLO1_15_09"

"","","","",""

