"CHARACTER DESCRIPTION"
"Wheel buyer. Easter-egg"

"","","","","DIA_Trader_DAWAJKOLA"
"Wheel buyer","Hallo du!                                                                                                                     ","DIA_Trader_DAWAJKOLA_03_01"
"Romulus","","Ja?                                                                                                                     ","DIA_Trader_DAWAJKOLA_15_02"
"Wheel buyer","Hast du nicht zufällig ein paar Räder für den Wagen gefunden?                                                                                                                     ","DIA_Trader_DAWAJKOLA_03_03"
"Romulus","","Ich habe vielleicht welche gefunden. Für was sollen sie sein?                                                                                                                     ","DIA_Trader_DAWAJKOLA_15_04"
"Wheel buyer","Ich möchte eine große Transportgemeinschaft mit beschränkter Haftung gründen, aber dafür brauche ich Karren. (Spaß muss sein :P )                                                                                                                     ","DIA_Trader_DAWAJKOLA_03_05"
"Wheel buyer","Und jeder Wagen braucht Räder.                                                                                                                     ","DIA_Trader_DAWAJKOLA_03_06"
"Wheel buyer","Aber nun kann ich diese Räder ja bei dir Kaufen, ich brauche 10 Stück…                                                                                                                     ","DIA_Trader_DAWAJKOLA_03_07"
"Wheel buyer","Was denkst du?                                                                                                                     ","DIA_Trader_DAWAJKOLA_03_08"
"Wheel buyer","Ich zahle dir 400 Gold dafür.                                                                                                                     ","DIA_Trader_DAWAJKOLA_03_09"

"","","","","DIA_Trader_DAWAJKOLA_A1"
"Romulus","","Auf keinen Fall, das sind meine Räder.                                                                                                                     ","DIA_Trader_DAWAJKOLA_A1_15_01"
"Wheel buyer","Das du mir ja nicht weinst, wenn das bestellte Paket nicht vor deiner Nase ankommt!                                                                                                                     ","DIA_Trader_DAWAJKOLA_A1_03_02"

"","","","","DIA_Trader_DAWAJKOLA_A2"
"Romulus","","Einverstanden Hier sind die Räder.                                                                                                                     ","DIA_Trader_DAWAJKOLA_A2_15_01"
"Wheel buyer","Oh, und hie die Bezahlung, es ist schön, mit dir Geschäfte zu machen.                                                                                                                     ","DIA_Trader_DAWAJKOLA_A2_03_02"

"","","","","DIA_Trader_DAWAJKOLA_A3"
"Romulus","","Das ist nicht genug… Biete mir mehr Geld an.                                                                                                                     ","DIA_Trader_DAWAJKOLA_A3_15_01"
"Wheel buyer","Auf Wiedersehen!                                                                                                                     ","DIA_Trader_DAWAJKOLA_A3_03_02"

"","","","",""

