"CHARACTER DESCRIPTION"
"Gladiator"

"","","","","DIA_JAMATAJ_HELLO1"
"Jamataj","Haha! Champion, denkst du, du wirst gewinnen?                                                                                                                     ","DIA_JAMATAJ_HELLO1_03_01"
"Jamataj","Meine Jungs werden dich umhauen.                                                                                                                     ","DIA_JAMATAJ_HELLO1_03_02"
"Romulus","","Ist das dein Harem?                                                                                                                     ","DIA_JAMATAJ_HELLO1_15_03"
"Jamataj","WAS?                                                                                                                     ","DIA_JAMATAJ_HELLO1_03_04"
"Romulus","","Nun das klingt sehr zweideutig.                                                                                                                     ","DIA_JAMATAJ_HELLO1_15_05"
"Jamataj","Ich werde dir die Zunge abreißen! Genug!                                                                                                                     ","DIA_JAMATAJ_HELLO1_03_06"
"Jamataj","Wir kämpfen, ich werde dir diesen Titel abnehmen.                                                                                                                     ","DIA_JAMATAJ_HELLO1_03_07"
"Romulus","","Na klar.                                                                                                                     ","DIA_JAMATAJ_HELLO1_15_08"

"","","","",""

