"CHARACTER DESCRIPTION"
"An observer on a platform that could collapse. He works with the constant threat of losing his life - until Romulus helps him."

"","","","","DIA_Igor_HELLO1"
"Igor","Hallo du! Warum bist du hier oben, huh?                                                                                                                     ","DIA_Igor_HELLO1_03_01"
"Romulus","","Ich schaue mich nur um.                                                                                                                     ","DIA_Igor_HELLO1_15_02"
"Igor","Ich sehe mich um." Gibt es hier wirklich keine interessanteren Orte mehr zu sehen"?                                                                                                                     ","DIA_Igor_HELLO1_03_03"
"Igor","Außerdem, wer bist du?                                                                                                                     ","DIA_Igor_HELLO1_03_04"
"Igor","Geh von hier runter, vier Leute auf dieser Plattform sind viel zu viel.                                                                                                                     ","DIA_Igor_HELLO1_03_05"
"Romulus","","Hier ist tatsächlich viel los…                                                                                                                     ","DIA_Igor_HELLO1_15_06"
"Igor","Jeden Tag ein wenig mehr. Und wir MÜSSEN hier stehen, sonst enden wir wie diese Sklaven da unten.                                                                                                                     ","DIA_Igor_HELLO1_03_07"
"Romulus","","Hast du mit Proxemo über den Zustand dieser Plattform gesprochen?                                                                                                                     ","DIA_Igor_HELLO1_15_08"
"Igor","Proxemo spricht nicht mit irgendeiner Wache.                                                                                                                     ","DIA_Igor_HELLO1_03_09"
"Igor","Du bist ein Gladiator, richtig?                                                                                                                     ","DIA_Igor_HELLO1_03_10"
"Romulus","","Ja.                                                                                                                     ","DIA_Igor_HELLO1_15_11"
"Igor","Wenn es dir gelingt, mit Proxemo zu sprechen, erwähne die Bedingungen, unter denen wir arbeiten müssen.                                                                                                                     ","DIA_Igor_HELLO1_03_12"
"Igor","Lass ihn von seinem fetten Arsch hochkommen und etwas dagegen unternehmen, denn irgendwann wird sie zusammenbrechen.                                                                                                                     ","DIA_Igor_HELLO1_03_13"
"Igor","Außerdem, warum erzähle ich das einem Sklaven? WEG HIER!                                                                                                                     ","DIA_Igor_HELLO1_03_14"

"","","","","DIA_Igor_HELLO2"
"Romulus","","Ich habe mit Proxemo gesprochen.                                                                                                                     ","DIA_Igor_HELLO2_15_01"
"Igor","Ich weiß nicht, wie du es geschafft hast, seinen Kopf zu beschäftigen, aber sagen mir, was er dir gesagt hat.                                                                                                                     ","DIA_Igor_HELLO2_03_02"
"Romulus","","Es ist ihm egal. Er sagt, die Plattform sieht aus wie immer.                                                                                                                     ","DIA_Igor_HELLO2_15_03"
"Igor","Was für ein Idiot!                                                                                                                     ","DIA_Igor_HELLO2_03_04"
"Igor","Ich muss einen Holzfäller oder jemanden finden, der mir alleine hilft.                                                                                                                     ","DIA_Igor_HELLO2_03_05"
"Romulus","","Ich werde mich darum kümmern.                                                                                                                     ","DIA_Igor_HELLO2_15_06"
"Igor","Du? Und warum?                                                                                                                     ","DIA_Igor_HELLO2_03_07"
"Romulus","","Könntest du mich irgendwie für meine Bemühungen belohnen?                                                                                                                     ","DIA_Igor_HELLO2_15_08"
"Igor","Ich werde alles in meiner Macht Stehende tun.                                                                                                                     ","DIA_Igor_HELLO2_03_09"
"Romulus","","Ich werde versuchen, etwas herauszufinden, warte.                                                                                                                     ","DIA_Igor_HELLO2_15_10"

"","","","","DIA_Igor_HELLO3"
"Romulus","","Ich war beim Holzfäller.                                                                                                                     ","DIA_Igor_HELLO3_15_01"
"Igor","Welcher Holzfäller?                                                                                                                     ","DIA_Igor_HELLO3_03_02"
"Igor","Der Möchtegern-Besitzer eines Sägewerks in der Stadt, der es zuerst verkauft und dann das ganze Geld, das er verdient hat, in Wetten geblasen hat?                                                                                                                     ","DIA_Igor_HELLO3_03_03"
"Romulus","","Ja, genau den meine ich.                                                                                                                     ","DIA_Igor_HELLO3_15_04"
"Igor","Und was ist mit ihm?                                                                                                                     ","DIA_Igor_HELLO3_03_05"
"Romulus","","Wenn er 500 Gold im Voraus bekommt, kümmert er sich um die Plattform.                                                                                                                     ","DIA_Igor_HELLO3_15_06"
"Igor","500 Gold?!                                                                                                                     ","DIA_Igor_HELLO3_03_07"
"Igor","Verdammt, wo bekomme ich diese Summe her? Ich habe nur 150 Münzen, mehr nicht.                                                                                                                     ","DIA_Igor_HELLO3_03_08"
"Romulus","","Gebt mir diese Münzen und ich erledige den Rest.                                                                                                                     ","DIA_Igor_HELLO3_15_09"
"Igor","Ich vertraue dir, aber du weißt, was passiert, wenn du mit meinem Gold davonläufst.                                                                                                                     ","DIA_Igor_HELLO3_03_10"
"Igor","Hier ist ein Beutel, und versuche, es schnell zu erledigen.                                                                                                                     ","DIA_Igor_HELLO3_03_11"

"","","","","DIA_Igor_HELLO4"
"Igor","Höre ich wirklich das Geräusch von Nägeln?                                                                                                                     ","DIA_Igor_HELLO4_03_01"
"Romulus","","Ja, der Holzfäller hat mit der Verstärkung der Stützen begonnen.                                                                                                                     ","DIA_Igor_HELLO4_15_02"
"Igor","Du hast es also geschafft? Das ist unglaublich.                                                                                                                     ","DIA_Igor_HELLO4_03_03"
"Igor","Ich bin dir sehr dankbar, jetzt muss ich mir keine Sorgen mehr um mein Leben machen wie früher.                                                                                                                     ","DIA_Igor_HELLO4_03_04"
"Igor","Wie ich es versprochen habe. Als Gegenleistung für deine Hilfe kann ich dir etwas von meiner Erfahrung in Kampf, Überleben und so weiter geben.                                                                                                                     ","DIA_Igor_HELLO4_03_05"
"Igor","Ich habe ein bisschen gelebt und viel in meinem Leben gesehen, also denke ich, dass ich dir etwas Nützliches beibringen kann.                                                                                                                     ","DIA_Igor_HELLO4_03_06"

"","","","",""

