"CHARACTER DESCRIPTION"
"Rebel, ex-soldier"

"","","","","DIA_ELINES_HELLO1"
"Elines","Hey! Gladiator!                                                                                                                     ","DIA_ELINES_HELLO1_03_01"
"Romulus","","Ja?                                                                                                                     ","DIA_ELINES_HELLO1_15_02"
"Elines","Ich bin Elis. Wie wäre es mit ein wenig Übung vor morgen?                                                                                                                     ","DIA_ELINES_HELLO1_03_03"
"Romulus","","Und was für eine Übung?                                                                                                                     ","DIA_ELINES_HELLO1_15_04"
"Elines","Ein kleines Duell, was sagst du?                                                                                                                     ","DIA_ELINES_HELLO1_03_05"
"Elines","Ich würde dich und mich gerne testen, weißt du.                                                                                                                     ","DIA_ELINES_HELLO1_03_06"

"","","","","DIA_ELINES_HELLO1_A1"
"Romulus","","Warum nicht, komm schon.                                                                                                                     ","DIA_ELINES_HELLO1_A1_15_01"
"Elines","Dann los, zieh deine Waffe!                                                                                                                     ","DIA_ELINES_HELLO1_A1_03_02"

"","","","","DIA_ELINES_HELLO1_A2"
"Romulus","","Sparen wir unsere Kräfte.                                                                                                                     ","DIA_ELINES_HELLO1_A2_15_01"
"Romulus","","Morgen ist ein wichtiger Tag, riskieren wir keine Verletzung.                                                                                                                     ","DIA_ELINES_HELLO1_A2_15_02"
"Elines","Okay, du hast Recht.                                                                                                                     ","DIA_ELINES_HELLO1_A2_03_03"

"","","","",""

