"CHARACTER DESCRIPTION"
"Prison guard. (funny role)"

"","","","","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES"
"Daryl","Hey! Ralf, du kennst die Regeln, gib mir das Essen und ich gebe es ihm!                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_03_01"
"Romulus","","Hallo Daryl, was ist los? ist dir kalt?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_15_02"
"Daryl","Wie jeden Monat… In dieser Zelle ist es immer am kältesten und ich bekomme immer wieder eine Erkältung…                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_03_03"
"Romulus","","Der Hauptmann der Wache ist hier eingesperrt?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_15_04"
"Daryl","Nein, Prinzessin Fiona!                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_03_05"
"Daryl","Natürlich. Ich schätze, du warst zu lange draußen und die Sonne überhitzt dein Gehirn, huh?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_03_06"
"Romulus","","Tut mir leid, ich fühle mich so unwohl nach so einer Pause.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_15_07"
"Daryl","Ja… Gib mir es, ich gebe es ihm weiter.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_03_08"
"Daryl","Oder ich nehme es selbst.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_03_09"
"Romulus","","Ich empfehle das Essen nicht, es sei denn, du möchtest alte Socken essen.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_15_10"
"Daryl","Du sitzt schon zu lange da…                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DOYOUKNOWRULES_03_11"

"","","","","DIA_PRISON_IMPORTANT_GUARD_DRINK"
"Romulus","","Hast du einen trockenen Hals?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DRINK_15_01"
"Daryl","Ja, du weißt, wie die Luft hier ist.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DRINK_03_02"
"Romulus","","Ein fahrender Händler verkaufte Schnaps in der Arena.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DRINK_15_03"
"Daryl","Okay, gib schon her!                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_DRINK_03_04"

"","","","","DIA_PRISON_IMPORTANT_GUARD_GOAWAY"
"(COMBINED: This dialogue contains speeches which are used in combination to create another dialogues depend of player decisions. That's why, not all speeches are sequential. Partially this dialogue is sequential, but please don't treat in this way enterily dialogue.)"
"Romulus","","Hallo Daryl..                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_01"
"Daryl","Du hast mir doch schon Essen gegeben. Warum bist Du hier?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_02"
"Romulus","","Du willst doch bestimmt nicht die ganze Schicht hier stehen oder?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_03"
"Daryl","Das hast nicht du zu entscheiden.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_04"
"Romulus","","Der Wärter hat dir gesagt, du sollst dich umziehen.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_05"
"Daryl","Normalerweiße schickt er aber nicht dich dafür.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_06"
"Romulus","","Erinnerst du dich, dass du mir von den Regeln erzählt hast?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_07"
"Daryl","Welche Regeln? Verlassen dich nicht auf mein Wort!                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_08"
"Romulus","","Über Regel Nummer sechs.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_09"
"Daryl","Nummer sechs!? Was war diese Regel nochmal?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_10"
"Romulus","","Niemand muss wissen, dass ich dich ablösen werde.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_11"
"Daryl","Warte, warum interessierst du dich so für diese Zelle?                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_12"
"Romulus","","Ich habe bemerkt, dass du hier nicht mehr Wache stehen willst. Heute helfe ich dir, dann hilfst du mir.                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_15_13"
"Daryl","Dann hilf mir und lass mich in Ruhe!                                                                                                                     ","DIA_PRISON_IMPORTANT_GUARD_GOAWAY_03_14"
